xflr5 v6.43

Plane name :        base
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.884927   0.171483   0.000572   0.172056  -0.000000   0.000000  -0.121145   0.000000   0.000000   30.0000    -0.0238
  -24.500     0.000  -1.843264   0.164686   0.000572   0.165259  -0.000000  -0.000000  -0.119571   0.000000   0.000000   30.0000    -0.0243
  -24.000     0.000  -1.801366   0.157967   0.000572   0.158540  -0.000000  -0.000000  -0.118068   0.000000   0.000000   30.0000    -0.0248
  -23.500     0.000  -1.759246   0.151330   0.000572   0.151902  -0.000000  -0.000000  -0.116637   0.000000   0.000000   30.0000    -0.0253
  -23.000     0.000  -1.716918   0.144780   0.000572   0.145352  -0.000000  -0.000000  -0.115281   0.000000   0.000000   30.0000    -0.0259
  -22.500     0.000  -1.674393   0.138322   0.003623   0.141944  -0.000000  -0.000000  -0.113805   0.000000   0.000000   30.0000    -0.0265
  -22.000     0.000  -1.631686   0.131960   0.003426   0.135386  -0.000000  -0.000000  -0.112614   0.000000   0.000000   30.0000    -0.0271
  -21.500     0.000  -1.588808   0.125700   0.006430   0.132130  -0.000000  -0.000000  -0.111228   0.000000   0.000000   30.0000    -0.0279
  -21.000     0.000  -1.545773   0.119545   0.006046   0.125591  -0.000000   0.000000  -0.110212  -0.000000  -0.000000   30.0000    -0.0287
  -20.500     0.000  -1.502593   0.113500   0.005739   0.119239   0.000000   0.000000  -0.109269   0.000000   0.000000   30.0000    -0.0295
  -20.000     0.000  -1.459283   0.107571   0.005480   0.113051  -0.000000  -0.000000  -0.108402   0.000000   0.000000   30.0000    -0.0304
  -19.500     0.000  -1.415853   0.101760   0.008600   0.110360  -0.000000  -0.000000  -0.107266  -0.000000   0.000000   30.0000    -0.0314
  -19.000     0.000  -1.372318   0.096073   0.007939   0.104012  -0.000000   0.000000  -0.106605  -0.000000   0.000000   30.0000    -0.0325
  -18.500     0.000  -1.328690   0.090513   0.007520   0.098033  -0.000000   0.000000  -0.106004  -0.000000   0.000000   30.0000    -0.0336
  -18.000     0.000  -1.284982   0.085085   0.007167   0.092252  -0.000000  -0.000000  -0.105481  -0.000000   0.000000   30.0000    -0.0349
  -17.500     0.000  -1.241206   0.079794   0.008106   0.087900  -0.000000  -0.000000  -0.105472   0.000000   0.000000   30.0000    -0.0363
  -17.000     0.000  -1.197375   0.074642   0.007405   0.082047  -0.000000   0.000000  -0.104951   0.000000   0.000000   30.0000    -0.0378
  -16.500     0.000  -1.153502   0.069634   0.011484   0.081118  -0.000000   0.000000  -0.104915   0.000000   0.000000   30.0000    -0.0394
  -16.000     0.000  -1.109599   0.064774   0.010930   0.075703   0.000000   0.000000  -0.104690  -0.000000   0.000000   30.0000    -0.0412
  -15.500     0.000  -1.065679   0.060065   0.011863   0.071928  -0.000000  -0.000000  -0.104967  -0.000000   0.000000   30.0000    -0.0432
  -15.000     0.000  -1.021754   0.055511   0.015122   0.070633  -0.000000  -0.000000  -0.104445  -0.000000   0.000000   30.0000    -0.0454
  -14.500     0.000  -0.977837   0.051116   0.016794   0.067910  -0.000000  -0.000000  -0.104113  -0.000000   0.000000   30.0000    -0.0477
  -14.000     0.000  -0.933940   0.046884   0.016759   0.063642  -0.000000  -0.000000  -0.104577   0.000000   0.000000   30.0000    -0.0504
