xflr5 v6.43

Plane name :        elevator -10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.933544   0.198771   0.000572   0.199343  -0.000000   0.000000  -0.224927   0.000000   0.000000   30.0000    -0.0572
  -24.500     0.000  -1.892016   0.191578   0.000572   0.192151  -0.000000  -0.000000  -0.225739   0.000000   0.000000   30.0000    -0.0587
  -24.000     0.000  -1.850248   0.184450   0.000572   0.185022  -0.000000  -0.000000  -0.226608   0.000000   0.000000   30.0000    -0.0602
  -23.500     0.000  -1.808251   0.177391   0.003821   0.181212  -0.000000  -0.000000  -0.227324   0.000000   0.000000   30.0000    -0.0619
  -23.000     0.000  -1.766039   0.170406   0.003521   0.173927  -0.000000  -0.000000  -0.228328   0.000000   0.000000   30.0000    -0.0636
  -22.500     0.000  -1.723624   0.163500   0.006643   0.170143  -0.000000   0.000000  -0.229093   0.000000   0.000000   30.0000    -0.0654
  -22.000     0.000  -1.681020   0.156679   0.006170   0.162849  -0.000000  -0.000000  -0.230232   0.000000   0.000000   30.0000    -0.0674
  -21.500     0.000  -1.638239   0.149946   0.005843   0.155790  -0.000000  -0.000000  -0.231414   0.000000   0.000000   30.0000    -0.0695
  -21.000     0.000  -1.595294   0.143308   0.005566   0.148873  -0.000000   0.000000  -0.232648   0.000000   0.000000   30.0000    -0.0717
  -20.500     0.000  -1.552198   0.136768   0.008461   0.145229  -0.000000   0.000000  -0.233538   0.000000   0.000000   30.0000    -0.0740
  -20.000     0.000  -1.508964   0.130331   0.007884   0.138215  -0.000000  -0.000000  -0.234928   0.000000   0.000000   30.0000    -0.0765
  -19.500     0.000  -1.465604   0.124003   0.007462   0.131464  -0.000000  -0.000000  -0.236352   0.000000   0.000000   30.0000    -0.0792
  -19.000     0.000  -1.422131   0.117787   0.007112   0.124898  -0.000000   0.000000  -0.237820   0.000000   0.000000   30.0000    -0.0820
  -18.500     0.000  -1.378556   0.111688   0.006804   0.118492  -0.000000   0.000000  -0.239336   0.000000   0.000000   30.0000    -0.0851
  -18.000     0.000  -1.334893   0.105711   0.006528   0.112239  -0.000000  -0.000000  -0.240898   0.000000   0.000000   30.0000    -0.0883
  -17.500     0.000  -1.291152   0.099859   0.008641   0.108500  -0.000000  -0.000000  -0.242150   0.000000   0.000000   30.0000    -0.0918
  -17.000     0.000  -1.247347   0.094138   0.008213   0.102351  -0.000000  -0.000000  -0.243841   0.000000   0.000000   30.0000    -0.0956
  -16.500     0.000  -1.203488   0.088551   0.007846   0.096397  -0.000000  -0.000000  -0.245569   0.000000   0.000000   30.0000    -0.0997
  -16.000     0.000  -1.159585   0.083102   0.010685   0.093787  -0.000000   0.000000  -0.246790   0.000000   0.000000   30.0000    -0.1041
  -15.500     0.000  -1.115651   0.077795   0.009941   0.087736  -0.000000  -0.000000  -0.248680   0.000000   0.000000   30.0000    -0.1088
  -15.000     0.000  -1.071695   0.072634   0.009615   0.082249  -0.000000  -0.000000  -0.250624  -0.000000   0.000000   30.0000    -0.1139
  -14.500     0.000  -1.027726   0.067623   0.013394   0.081017  -0.000000  -0.000000  -0.252410  -0.000000   0.000000   30.0000    -0.1195
  -14.000     0.000  -0.983752   0.062765   0.016703   0.079468  -0.000000  -0.000000  -0.254260   0.000000   0.000000   30.0000    -0.1256
  -13.500     0.000  -0.939782   0.058064   0.015389   0.073453  -0.000000  -0.000000  -0.256190   0.000000   0.000000   30.0000    -0.1323
  -13.000     0.000  -0.895820   0.053523   0.016564   0.070087  -0.000000   0.000000  -0.258613  -0.000000   0.000000   30.0000    -0.1397
  -12.500     0.000  -0.851873   0.049145   0.018128   0.067272  -0.000000  -0.000000  -0.260009  -0.000000   0.000000   30.0000    -0.1478
  -12.000     0.000  -0.807941   0.044932   0.021681   0.066613  -0.000000  -0.000000  -0.261089   0.000000   0.000000   30.0000    -0.1568
  -11.500     0.000  -0.764026   0.040889   0.022503   0.063392  -0.000000   0.000000  -0.263608  -0.000000   0.000000   30.0000    -0.1668
  -11.000     0.000  -0.720123   0.037017   0.023752   0.060770  -0.000000  -0.000000  -0.266030  -0.000000   0.000000   30.0000    -0.1780
  -10.500     0.000  -0.676225   0.033319   0.024059   0.057378  -0.000000  -0.000000  -0.268161   0.000000   0.000000   30.0000    -0.1906
  -10.000     0.000  -0.632319   0.029798   0.022251   0.052048  -0.000000   0.000000  -0.269894   0.000000   0.000000   30.0000    -0.2050
   -9.500     0.000  -0.588387   0.026455   0.020910   0.047365  -0.000000   0.000000  -0.271657   0.000000   0.000000   30.0000    -0.2215
   -9.000     0.000  -0.544399   0.023293   0.019749   0.043042  -0.000000  -0.000000  -0.273412   0.000000   0.000000   30.0000    -0.2407
   -8.500     0.000  -0.500318   0.020314   0.018699   0.039013  -0.000000  -0.000000  -0.275170   0.000000   0.000000   30.0000    -0.2633
   -8.000     0.000  -0.456090   0.017520   0.017754   0.035275  -0.000000   0.000000  -0.276970   0.000000   0.000000   30.0000    -0.2904
   -7.500     0.000  -0.411642   0.014913   0.016857   0.031770  -0.000000   0.000000  -0.278870   0.000000   0.000000   30.0000    -0.3236
   -7.000     0.000  -0.366882   0.012494   0.016156   0.028650  -0.000000  -0.000000  -0.280962   0.000000   0.000000   30.0000    -0.3654
   -6.500     0.000  -0.321694   0.010263   0.015564   0.025827  -0.000000  -0.000000  -0.283387   0.000000   0.000000   30.0000    -0.4199
   -6.000     0.000  -0.275960   0.008217   0.015191   0.023408  -0.000000   0.000000  -0.286306   0.000000   0.000000   30.0000    -0.4941
   -5.500     0.000  -0.229614   0.006352   0.014872   0.021224  -0.000000   0.000000  -0.289918   0.000000   0.000000   30.0000    -0.6007
   -5.000     0.000  -0.182801   0.004658   0.014609   0.019267  -0.000000  -0.000000  -0.294354   0.000000   0.000000   30.0000    -0.7654
   -4.500     0.000  -0.136242   0.003133   0.014393   0.017525  -0.000000   0.000000  -0.299462   0.000000   0.000000   30.0000    -1.0439
   -4.000     0.000  -0.091922   0.001802   0.014183   0.015986  -0.000000  -0.000000  -0.304356   0.000000   0.000000   30.0000    -1.5712
   -3.500     0.000  -0.053812   0.000734   0.013766   0.014500  -0.000000  -0.000000  -0.306870   0.000000   0.000000   30.0000    -2.7036
   -3.000     0.000  -0.026903  -0.000285   0.013481   0.013196   0.000000  -0.000000  -0.303958   0.000000   0.000000   30.0000    -5.3518
   -2.500     0.000  -0.014681  -0.006813   0.013399   0.006586  -0.000000  -0.000000  -0.294986   0.000000   0.000000   30.0000    -9.5103
   -2.000     0.000   0.006273  -0.006605   0.013154   0.006549  -0.000000   0.000000  -0.286868   0.000000  -0.000000   30.0000    21.6332
   -1.500     0.000   0.044525   0.001344   0.012824   0.014169  -0.000000   0.000000  -0.291962   0.000000   0.000000   30.0000     3.0999
   -1.000     0.000   0.094632   0.002224   0.012687   0.014911  -0.000000  -0.000000  -0.304261   0.000000   0.000000   30.0000     1.5192
   -0.500     0.000   0.144097   0.002718   0.012536   0.015254  -0.000000   0.000000  -0.314659   0.000000   0.000000   30.0000     1.0314
    0.000     0.000   0.189732   0.003367   0.012313   0.015680   0.000000   0.000000  -0.321969   0.000000  -0.000000   30.0000     0.8013
    0.500     0.000   0.232063   0.004230   0.012455   0.016685   0.000000   0.000000  -0.327129   0.000000  -0.000000   30.0000     0.6655
    1.000     0.000   0.272121   0.005296   0.012521   0.017816  -0.000000   0.000000  -0.331051   0.000000   0.000000   30.0000     0.5743
    1.500     0.000   0.310767   0.006549   0.012754   0.019303  -0.000000   0.000000  -0.334306   0.000000   0.000000   30.0000     0.5079
    2.000     0.000   0.348574   0.007983   0.012850   0.020833   0.000000   0.000000  -0.337216   0.000000  -0.000000   30.0000     0.4568
    2.500     0.000   0.385877   0.009596   0.013021   0.022617   0.000000   0.000000  -0.339941   0.000000  -0.000000   30.0000     0.4161
    3.000     0.000   0.422852   0.011391   0.013226   0.024617   0.000000  -0.000000  -0.342559   0.000000  -0.000000   30.0000     0.3828
    3.500     0.000   0.459580   0.013369   0.013470   0.026840   0.000000  -0.000000  -0.345102   0.000000  -0.000000   30.0000     0.3550
    4.000     0.000   0.496091   0.015533   0.013862   0.029395   0.000000  -0.000000  -0.347586   0.000000  -0.000000   30.0000     0.3314
    4.500     0.000   0.532386   0.017884   0.014203   0.032088  -0.000000   0.000000  -0.350008   0.000000   0.000000   30.0000     0.3112
    5.000     0.000   0.568452   0.020423   0.014659   0.035082   0.000000  -0.000000  -0.352374   0.000000  -0.000000   30.0000     0.2936
    5.500     0.000   0.604274   0.023151   0.015132   0.038283  -0.000000  -0.000000  -0.354675   0.000000   0.000000   30.0000     0.2783
    6.000     0.000   0.639832   0.026066   0.015554   0.041620   0.000000   0.000000  -0.356905   0.000000  -0.000000   30.0000     0.2648
    6.500     0.000   0.675107   0.029168   0.015925   0.045093   0.000000   0.000000  -0.359061   0.000000  -0.000000   30.0000     0.2527
    7.000     0.000   0.710081   0.032457   0.016351   0.048807   0.000000  -0.000000  -0.361149   0.000000  -0.000000   30.0000     0.2420
    7.500     0.000   0.744737   0.035930   0.016798   0.052728  -0.000000   0.000000  -0.363162   0.000000   0.000000   30.0000     0.2323
