xflr5 v6.43

Plane name :        elevator 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.810835   0.154974   0.000572   0.155547  -0.000000   0.000000   0.019905   0.000000   0.000000   30.0000     0.0247
  -24.500     0.000  -1.769665   0.148498   0.000572   0.149071  -0.000000  -0.000000   0.023723   0.000000   0.000000   30.0000     0.0254
  -24.000     0.000  -1.728266   0.142106   0.000572   0.142679  -0.000000  -0.000000   0.027411   0.000000   0.000000   30.0000     0.0262
  -23.500     0.000  -1.686651   0.135803   0.000572   0.136376  -0.000000   0.000000   0.030969   0.000000   0.000000   30.0000     0.0269
  -23.000     0.000  -1.644831   0.129594   0.000572   0.130167  -0.000000  -0.000000   0.034392   0.000000   0.000000   30.0000     0.0277
  -22.500     0.000  -1.602821   0.123484   0.000650   0.124134  -0.000000  -0.000000   0.037644  -0.000000   0.000000   30.0000     0.0285
  -22.000     0.000  -1.560631   0.117476   0.000646   0.118122  -0.000000  -0.000000   0.040798  -0.000000   0.000000   30.0000     0.0294
  -21.500     0.000  -1.518275   0.111576   0.003983   0.115559  -0.000000  -0.000000   0.044021  -0.000000   0.000000   30.0000     0.0302
  -21.000     0.000  -1.475765   0.105789   0.003617   0.109406   0.000000   0.000000   0.046871  -0.000000   0.000000   30.0000     0.0311
  -20.500     0.000  -1.433114   0.100119   0.007090   0.107208  -0.000000   0.000000   0.048019   0.000000   0.000000   30.0000     0.0321
  -20.000     0.000  -1.390334   0.094569   0.009471   0.104040  -0.000000  -0.000000   0.051133   0.000000   0.000000   30.0000     0.0330
  -19.500     0.000  -1.347439   0.089146   0.008542   0.097688  -0.000000  -0.000000   0.053818  -0.000000   0.000000   30.0000     0.0340
  -19.000     0.000  -1.304440   0.083852   0.010019   0.093871  -0.000000   0.000000   0.055413  -0.000000   0.000000   30.0000     0.0350
  -18.500     0.000  -1.261349   0.078692   0.009352   0.088044  -0.000000   0.000000   0.057754  -0.000000   0.000000   30.0000     0.0361
  -18.000     0.000  -1.218181   0.073669   0.013039   0.086709  -0.000000  -0.000000   0.059876  -0.000000   0.000000   30.0000     0.0372
  -17.500     0.000  -1.174946   0.068789   0.012837   0.081626  -0.000000   0.000000   0.061583  -0.000000   0.000000   30.0000     0.0384
  -17.000     0.000  -1.131658   0.064055   0.012375   0.076430  -0.000000   0.000000   0.063320   0.000000   0.000000   30.0000     0.0397
  -16.500     0.000  -1.088329   0.059470   0.011653   0.071123  -0.000000   0.000000   0.065015   0.000000   0.000000   30.0000     0.0410
