xflr5 v6.43

Plane name :        flaps 30
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.298876   0.133045   0.021184   0.154229   0.000000  -0.000000  -0.333281   0.000003   0.000000   30.0000    -0.1502
  -24.500     0.000  -1.263842   0.126954   0.021015   0.147969   0.000000  -0.000000  -0.334370   0.000003   0.000000   30.0000    -0.1534
  -24.000     0.000  -1.228609   0.120994   0.020859   0.141853   0.000000  -0.000000  -0.335336   0.000003   0.000000   30.0000    -0.1568
  -23.500     0.000  -1.193186   0.115172   0.020739   0.135911   0.000000  -0.000000  -0.336179   0.000003   0.000000   30.0000    -0.1605
  -23.000     0.000  -1.157582   0.109492   0.023785   0.133278   0.000000  -0.000000  -0.336179   0.000003   0.000000   30.0000    -0.1644
  -22.500     0.000  -1.121808   0.103959   0.023378   0.127337   0.000000  -0.000000  -0.336870   0.000003   0.000000   30.0000    -0.1685
  -22.000     0.000  -1.085873   0.098576   0.023104   0.121680   0.000000  -0.000000  -0.337418   0.000003   0.000000   30.0000    -0.1730
  -21.500     0.000  -1.049787   0.093348   0.022882   0.116230   0.000000  -0.000000  -0.337844   0.000003   0.000000   30.0000    -0.1778
  -21.000     0.000  -1.013560   0.088280   0.022698   0.110978   0.000000  -0.000000  -0.338155   0.000003   0.000000   30.0000    -0.1829
  -20.500     0.000  -0.977201   0.083376   0.022536   0.105912   0.000000  -0.000000  -0.338357   0.000003   0.000000   30.0000    -0.1884
  -20.000     0.000  -0.940721   0.078638   0.022515   0.101153   0.000000  -0.000000  -0.338499   0.000003   0.000000   30.0000    -0.1944
  -19.500     0.000  -0.904128   0.074072   0.022371   0.096443   0.000000  -0.000000  -0.338483   0.000003   0.000000   30.0000    -0.2009
  -19.000     0.000  -0.867432   0.069680   0.022254   0.091934   0.000000  -0.000000  -0.338376   0.000003   0.000000   30.0000    -0.2080
  -18.500     0.000  -0.830644   0.065466   0.023967   0.089434   0.000000  -0.000000  -0.338860   0.000003   0.000000   30.0000    -0.2157
  -18.000     0.000  -0.793772   0.061434   0.023282   0.084716   0.000000  -0.000000  -0.338336   0.000003   0.000000   30.0000    -0.2242
  -17.500     0.000  -0.756826   0.057587   0.027712   0.085299   0.000000  -0.000000  -0.338051   0.000003   0.000000   30.0000    -0.2335
  -17.000     0.000  -0.719816   0.053928   0.026824   0.080751   0.000000  -0.000000  -0.337428   0.000003   0.000000   30.0000    -0.2438
  -16.500     0.000  -0.682752   0.050459   0.026517   0.076976   0.000000  -0.000000  -0.336902   0.000003   0.000000   30.0000    -0.2553
  -16.000     0.000  -0.645642   0.047184   0.030578   0.077762   0.000000  -0.000000  -0.336329   0.000003   0.000000   30.0000    -0.2680
  -15.500     0.000  -0.608496   0.044106   0.029562   0.073668   0.000000  -0.000000  -0.335554   0.000003   0.000000   30.0000    -0.2824
  -15.000     0.000  -0.571324   0.041226   0.032288   0.073514   0.000000  -0.000000  -0.334531   0.000003   0.000000   30.0000    -0.2987
  -14.500     0.000  -0.534134   0.038548   0.032493   0.071041   0.000000  -0.000000  -0.334011   0.000003   0.000000   30.0000    -0.3172
  -14.000     0.000  -0.496936   0.036073   0.036037   0.072110   0.000000  -0.000000  -0.332025   0.000003   0.000000   30.0000    -0.3386
  -13.500     0.000  -0.459739   0.033805   0.034932   0.068737   0.000000  -0.000000  -0.331263   0.000003   0.000000   30.0000    -0.3634
  -13.000     0.000  -0.422552   0.031745   0.034025   0.065770   0.000000  -0.000000  -0.330423   0.000003   0.000000   30.0000    -0.3926
  -12.500     0.000  -0.385384   0.029897   0.033247   0.063144   0.000000  -0.000000  -0.329521   0.000003   0.000000   30.0000    -0.4275
  -12.000     0.000  -0.348243   0.028262   0.032463   0.060725   0.000000  -0.000000  -0.328573   0.000003   0.000000   30.0000    -0.4699
  -11.500     0.000  -0.311138   0.026844   0.031634   0.058478   0.000000  -0.000000  -0.327596   0.000003   0.000000   30.0000    -0.5224
  -11.000     0.000  -0.274077   0.025647   0.030668   0.056315   0.000000  -0.000000  -0.326608   0.000002   0.000000   30.0000    -0.5890
  -10.500     0.000  -0.237067   0.024675   0.030151   0.054826   0.000000  -0.000000  -0.325569   0.000002   0.000000   30.0000    -0.6765
  -10.000     0.000  -0.200115   0.023936   0.029724   0.053660   0.000000  -0.000000  -0.324508   0.000002   0.000000   30.0000    -0.7961
   -9.500     0.000  -0.163227   0.023438   0.029385   0.052824   0.000000  -0.000000  -0.323437   0.000002   0.000000   30.0000    -0.9698
   -9.000     0.000  -0.126406   0.023195   0.029028   0.052223   0.000000  -0.000000  -0.322371   0.000002   0.000000   30.0000    -1.2444
   -8.500     0.000  -0.089656   0.023224   0.028686   0.051910   0.000000  -0.000000  -0.321307   0.000002   0.000000   30.0000    -1.7437
   -8.000     0.000  -0.052975   0.023546   0.028379   0.051925   0.000000  -0.000000  -0.320250   0.000002   0.000000   30.0000    -2.9334
