xflr5 v6.43

Plane name :        left aileron -12
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -2.000343   0.201699   0.000574   0.202272  -0.003876  -0.037461  -0.058133   0.001466   0.001466   30.0000    -0.0006
  -24.500     0.000  -1.959702   0.194527   0.000574   0.195101  -0.003677  -0.037559  -0.054743   0.001471   0.001471   30.0000    -0.0003
  -24.000     0.000  -1.918816   0.187420   0.000574   0.187993  -0.003478  -0.037655  -0.051429   0.001473   0.001473   30.0000     0.0000
  -23.500     0.000  -1.877698   0.180381   0.000574   0.180955  -0.003279  -0.037748  -0.048195   0.001472   0.001472   30.0000     0.0003
  -23.000     0.000  -1.836362   0.173417   0.000574   0.173990  -0.003082  -0.037840  -0.045043   0.001469   0.001469   30.0000     0.0006
  -22.500     0.000  -1.794818   0.166531   0.000574   0.167105  -0.002885  -0.037931  -0.041974   0.001463   0.001463   30.0000     0.0009
  -22.000     0.000  -1.753081   0.159730   0.003701   0.163431  -0.002689  -0.038019  -0.038795   0.001454   0.001454   30.0000     0.0012
  -21.500     0.000  -1.711162   0.153017   0.003475   0.156492  -0.002494  -0.038107  -0.035915   0.001442   0.001443   30.0000     0.0015
  -21.000     0.000  -1.669074   0.146399   0.004883   0.151282  -0.002300  -0.038193  -0.032990   0.001529   0.001428   30.0000     0.0017
  -20.500     0.000  -1.626830   0.139879   0.006167   0.146046  -0.002107  -0.038277  -0.030169   0.001405   0.001411   30.0000     0.0020
  -20.000     0.000  -1.584443   0.133463   0.005841   0.139303  -0.001914  -0.038360  -0.027577   0.001385   0.001391   30.0000     0.0023
  -19.500     0.000  -1.541924   0.127155   0.005629   0.132784  -0.001723  -0.038443  -0.025101   0.001377   0.001367   30.0000     0.0026
  -19.000     0.000  -1.499286   0.120959   0.006971   0.127931  -0.001533  -0.038524  -0.022522   0.001504   0.001341   30.0000     0.0029
  -18.500     0.000  -1.456542   0.114882   0.006579   0.121461  -0.001344  -0.038604  -0.020225   0.001457   0.001312   30.0000     0.0031
  -18.000     0.000  -1.413704   0.108926   0.007725   0.116651  -0.001156  -0.038684  -0.017856   0.001257   0.001280   30.0000     0.0034
  -17.500     0.000  -1.370784   0.103096   0.008644   0.111740  -0.000969  -0.038763  -0.016226   0.001223   0.001245   30.0000     0.0037
  -17.000     0.000  -1.327795   0.097397   0.007832   0.105230  -0.000784  -0.038842  -0.014057   0.001192   0.001208   30.0000     0.0039
  -16.500     0.000  -1.284750   0.091833   0.009576   0.101410  -0.000599  -0.038920  -0.012815   0.001153   0.001167   30.0000     0.0042
  -16.000     0.000  -1.241660   0.086409   0.012174   0.098583  -0.000416  -0.038998  -0.010458   0.000931   0.001124   30.0000     0.0044
  -15.500     0.000  -1.198537   0.081128   0.011721   0.092848  -0.000234  -0.039076  -0.008843   0.000954   0.001077   30.0000     0.0047
  -15.000     0.000  -1.155394   0.075994   0.013991   0.089985  -0.000054  -0.039153  -0.007530   0.000698   0.001028   30.0000     0.0049
  -14.500     0.000  -1.112243   0.071011   0.015507   0.086518   0.000126  -0.039231  -0.005960   0.000974   0.000976   30.0000     0.0051
  -14.000     0.000  -1.069096   0.066184   0.016378   0.082562   0.000303  -0.039309  -0.004497   0.001370   0.000922   30.0000     0.0053
  -13.500     0.000  -1.025965   0.061515   0.015441   0.076956   0.000480  -0.039387  -0.003189   0.001242   0.000864   30.0000     0.0055
  -13.000     0.000  -0.982862   0.057009   0.016018   0.073027   0.000655  -0.039465  -0.001781   0.001488   0.000804   30.0000     0.0057
  -12.500     0.000  -0.939799   0.052669   0.015226   0.067895   0.000829  -0.039544  -0.000757   0.001357   0.000742   30.0000     0.0059
  -12.000     0.000  -0.896789   0.048499   0.020599   0.069098   0.001001  -0.039624   0.001372   0.001668   0.000677   30.0000     0.0060
  -11.500     0.000  -0.853843   0.044501   0.019244   0.063745   0.001171  -0.039704   0.001990   0.001468   0.000609   30.0000     0.0062
  -11.000     0.000  -0.810974   0.040680   0.018217   0.058897   0.001340  -0.039785   0.002543   0.001311   0.000539   30.0000     0.0063
  -10.500     0.000  -0.768195   0.037037   0.017340   0.054377   0.001507  -0.039866   0.003002   0.001172   0.000467   30.0000     0.0064
  -10.000     0.000  -0.725519   0.033576   0.017852   0.051428   0.001673  -0.039949   0.003564   0.000650   0.000392   30.0000     0.0064
   -9.500     0.000  -0.682959   0.030300   0.019438   0.049738   0.001837  -0.040032   0.004213  -0.000368   0.000315   30.0000     0.0064
   -9.000     0.000  -0.640528   0.027210   0.018472   0.045682   0.001999  -0.040115   0.004250  -0.000353   0.000237   30.0000     0.0063
   -8.500     0.000  -0.598242   0.024310   0.017671   0.041982   0.002159  -0.040200   0.004192  -0.000371   0.000156   30.0000     0.0062
   -8.000     0.000  -0.556116   0.021602   0.016970   0.038572   0.002317  -0.040285   0.004029  -0.000407   0.000073   30.0000     0.0060
   -7.500     0.000  -0.514165   0.019087   0.016386   0.035473   0.002474  -0.040370   0.003759  -0.000455  -0.000011   30.0000     0.0057
   -7.000     0.000  -0.472407   0.016767   0.015848   0.032615   0.002628  -0.040456   0.003379  -0.000509  -0.000097   30.0000     0.0053
