xflr5 v6.43

Plane name :        left aileron 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.753361   0.157261   0.000575   0.157836   0.001997   0.035657  -0.185474  -0.001542  -0.001542   30.0000    -0.0510
  -24.500     0.000  -1.711635   0.150680   0.000575   0.151255   0.001983   0.035599  -0.185391  -0.001534  -0.001534   30.0000    -0.0523
  -24.000     0.000  -1.669692   0.144186   0.000575   0.144761   0.001967   0.035538  -0.185355  -0.001524  -0.001524   30.0000    -0.0536
  -23.500     0.000  -1.627542   0.137784   0.003771   0.141555   0.001951   0.035477  -0.185158  -0.001509  -0.001511   30.0000    -0.0551
  -23.000     0.000  -1.585199   0.131479   0.005451   0.136930   0.001932   0.035414  -0.185064  -0.001619  -0.001495   30.0000    -0.0566
  -22.500     0.000  -1.542676   0.125276   0.004874   0.130150   0.001912   0.035350  -0.185221  -0.001575  -0.001477   30.0000    -0.0582
  -22.000     0.000  -1.499985   0.119180   0.006184   0.125364   0.001891   0.035286  -0.185264  -0.001447  -0.001456   30.0000    -0.0600
  -21.500     0.000  -1.457139   0.113194   0.005858   0.119052   0.001868   0.035220  -0.185499  -0.001425  -0.001432   30.0000    -0.0618
  -21.000     0.000  -1.414151   0.107325   0.007130   0.114455   0.001844   0.035153  -0.185582  -0.001567  -0.001405   30.0000    -0.0638
  -20.500     0.000  -1.371034   0.101575   0.006732   0.108307   0.001818   0.035086  -0.185934  -0.001521  -0.001377   30.0000    -0.0660
  -20.000     0.000  -1.327800   0.095950   0.008099   0.104049   0.001791   0.035019  -0.186118  -0.001297  -0.001345   30.0000    -0.0683
  -19.500     0.000  -1.284462   0.090454   0.007664   0.098119   0.001761   0.034951  -0.186638  -0.001284  -0.001311   30.0000    -0.0708
  -19.000     0.000  -1.241032   0.085092   0.008495   0.093587   0.001731   0.034883  -0.186938  -0.001437  -0.001275   30.0000    -0.0734
  -18.500     0.000  -1.197523   0.079867   0.008075   0.087941   0.001698   0.034815  -0.187505  -0.001386  -0.001236   30.0000    -0.0763
  -18.000     0.000  -1.153947   0.074783   0.009379   0.084162   0.001665   0.034747  -0.188718  -0.001328  -0.001196   30.0000    -0.0795
  -17.500     0.000  -1.110318   0.069845   0.008499   0.078343   0.001629   0.034678  -0.189160  -0.001279  -0.001153   30.0000    -0.0829
  -17.000     0.000  -1.066647   0.065056   0.009187   0.074243   0.001592   0.034611  -0.189571  -0.001040  -0.001107   30.0000    -0.0865
  -16.500     0.000  -1.022946   0.060421   0.010572   0.070993   0.001553   0.034543  -0.190914  -0.001005  -0.001060   30.0000    -0.0906
  -16.000     0.000  -0.979229   0.055942   0.010159   0.066101   0.001513   0.034476  -0.191682  -0.000963  -0.001011   30.0000    -0.0950
  -15.500     0.000  -0.935506   0.051624   0.017559   0.069183   0.001470   0.034410  -0.191498  -0.003564  -0.000960   30.0000    -0.0998
  -15.000     0.000  -0.891792   0.047470   0.019194   0.066665   0.001427   0.034344  -0.192404  -0.003131  -0.000907   30.0000    -0.1052
  -14.500     0.000  -0.848096   0.043484   0.016074   0.059557   0.001381   0.034279  -0.193958  -0.000817  -0.000852   30.0000    -0.1111
  -14.000     0.000  -0.804433   0.039668   0.016255   0.055923   0.001334   0.034215  -0.195232  -0.000800  -0.000796   30.0000    -0.1177
  -13.500     0.000  -0.760814   0.036026   0.026718   0.062744   0.001285   0.034151  -0.193862  -0.004086  -0.000738   30.0000    -0.1250
  -13.000     0.000  -0.717251   0.032560   0.020502   0.053062   0.001234   0.034089  -0.196230  -0.001976  -0.000678   30.0000    -0.1333
  -12.500     0.000  -0.673756   0.029275   0.021682   0.050957   0.001182   0.034028  -0.197047  -0.000950  -0.000617   30.0000    -0.1426
  -12.000     0.000  -0.630342   0.026171   0.021558   0.047729   0.001128   0.033968  -0.198219  -0.000508  -0.000555   30.0000    -0.1533
  -11.500     0.000  -0.587021   0.023253   0.020413   0.043666   0.001072   0.033909  -0.199664  -0.000505  -0.000491   30.0000    -0.1655
  -11.000     0.000  -0.543807   0.020522   0.019459   0.039981   0.001015   0.033852  -0.201132  -0.000483  -0.000427   30.0000    -0.1797
  -10.500     0.000  -0.500712   0.017980   0.018625   0.036605   0.000956   0.033796  -0.202643  -0.000449  -0.000361   30.0000    -0.1964
  -10.000     0.000  -0.457750   0.015630   0.017876   0.033506   0.000895   0.033741  -0.204200  -0.000407  -0.000294   30.0000    -0.2161
   -9.500     0.000  -0.414936   0.013474   0.017219   0.030692   0.000832   0.033687  -0.205803  -0.000361  -0.000227   30.0000    -0.2400
   -9.000     0.000  -0.372284   0.011512   0.016658   0.028170   0.000768   0.033634  -0.207451  -0.000311  -0.000159   30.0000    -0.2692
   -8.500     0.000  -0.329810   0.009747   0.016147   0.025893   0.000702   0.033582  -0.209148  -0.000258  -0.000090   30.0000    -0.3060
   -8.000     0.000  -0.287533   0.008179   0.015655   0.023834   0.000634   0.033531  -0.210893  -0.000198  -0.000020   30.0000    -0.3534
   -7.500     0.000  -0.245470   0.006810   0.015213   0.022023   0.000564   0.033481  -0.212679  -0.000133   0.000050   30.0000    -0.4169
   -7.000     0.000  -0.203642   0.005639   0.014795   0.020434   0.000493   0.033430  -0.214503  -0.000074   0.000120   30.0000    -0.5061
   -6.500     0.000  -0.162070   0.004666   0.014419   0.019085   0.000420   0.033379  -0.216355  -0.000003   0.000191   30.0000    -0.6405
   -6.000     0.000  -0.120778   0.003891   0.014136   0.018027   0.000346   0.033326  -0.218220   0.000063   0.000261   30.0000    -0.8657
   -5.500     0.000  -0.079789   0.003312   0.013889   0.017201   0.000271   0.033271  -0.220094   0.000128   0.000332   30.0000    -1.3199
   -5.000     0.000  -0.039120   0.002927   0.013645   0.016572   0.000195   0.033212  -0.221968   0.000203   0.000403   30.0000    -2.7113
   -4.500     0.000   0.001226   0.002737   0.013452   0.016189   0.000119   0.033149  -0.223833   0.000280   0.000473   30.0000    87.0974
   -4.000     0.000   0.041297   0.002746   0.013307   0.016054   0.000041   0.033085  -0.225711   0.000343   0.000544   30.0000     2.6050
   -3.500     0.000   0.081273   0.002967   0.013229   0.016195  -0.000041   0.033035  -0.227704   0.000416   0.000615   30.0000     1.3337
   -3.000     0.000   0.121611   0.003408   0.013123   0.016531  -0.000129   0.033040  -0.230113   0.000501   0.000686   30.0000     0.8997
   -2.500     0.000   0.162989   0.004070   0.012999   0.017069  -0.000219   0.033129  -0.233408   0.000605   0.000758   30.0000     0.6801
   -2.000     0.000   0.205726   0.004863   0.012819   0.017682  -0.000295   0.033169  -0.237821   0.000696   0.000828   30.0000     0.5483
   -1.500     0.000   0.248593   0.005832   0.012569   0.018400  -0.000366   0.032979  -0.242442   0.000765   0.000895   30.0000     0.4621
   -1.000     0.000   0.289635   0.007043   0.012321   0.019364  -0.000427   0.032739  -0.245890   0.000808   0.000957   30.0000     0.4018
   -0.500     0.000   0.328278   0.008419   0.012259   0.020678  -0.000511   0.032636  -0.247908   0.000873   0.001019   30.0000     0.3571
    0.000     0.000   0.365653   0.009981   0.012440   0.022420  -0.000613   0.032608  -0.249326   0.000879   0.001083   30.0000     0.3222
    0.500     0.000   0.402706   0.011737   0.012588   0.024325  -0.000723   0.032589  -0.250722   0.000882   0.001147   30.0000     0.2939
    1.000     0.000   0.439738   0.013691   0.012856   0.026547  -0.000835   0.032561  -0.252241   0.000922   0.001210   30.0000     0.2706
    1.500     0.000   0.476772   0.015842   0.013143   0.028985  -0.000948   0.032523  -0.253881   0.000934   0.001271   30.0000     0.2510
