xflr5 v6.43

Plane name :        rudder 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.884403   0.173292   0.000906   0.174198   0.026654   0.011793  -0.120427  -0.004965  -0.004964   30.0000    -0.0237
  -24.500     0.000  -1.842761   0.166511   0.000906   0.167416   0.027044   0.011839  -0.118850  -0.005233  -0.005231   30.0000    -0.0242
  -24.000     0.000  -1.800885   0.159805   0.000906   0.160711   0.027427   0.011875  -0.117343  -0.005502  -0.005500   30.0000    -0.0247
  -23.500     0.000  -1.758787   0.153181   0.000907   0.154087   0.027801   0.011902  -0.115910  -0.005772  -0.005770   30.0000    -0.0252
  -23.000     0.000  -1.716481   0.146642   0.000907   0.147549   0.028167   0.011918  -0.114550  -0.006042  -0.006041   30.0000    -0.0258
  -22.500     0.000  -1.673978   0.140195   0.003960   0.144154   0.028525   0.011924  -0.113072  -0.006313  -0.006311   30.0000    -0.0264
  -22.000     0.000  -1.631292   0.133843   0.003762   0.137605   0.028873   0.011921  -0.111878  -0.006583  -0.006581   30.0000    -0.0270
  -21.500     0.000  -1.588436   0.127591   0.006770   0.134361   0.029213   0.011907  -0.110489  -0.006853  -0.006851   30.0000    -0.0278
  -21.000     0.000  -1.545423   0.121444   0.006384   0.127828   0.029543   0.011883  -0.109471  -0.007121  -0.007120   30.0000    -0.0285
  -20.500     0.000  -1.502266   0.115407   0.006077   0.121484   0.029863   0.011848  -0.108526  -0.007388  -0.007387   30.0000    -0.0294
  -20.000     0.000  -1.458976   0.109483   0.005818   0.115301   0.030174   0.011804  -0.107657  -0.007654  -0.007652   30.0000    -0.0303
  -19.500     0.000  -1.415569   0.103678   0.008949   0.112627   0.030475   0.011750  -0.106518  -0.007922  -0.007915   30.0000    -0.0313
  -19.000     0.000  -1.372055   0.097995   0.008280   0.106275   0.030767   0.011686  -0.105856  -0.008178  -0.008176   30.0000    -0.0324
  -18.500     0.000  -1.328448   0.092439   0.007860   0.100299   0.031047   0.011613  -0.105253  -0.008436  -0.008434   30.0000    -0.0335
  -18.000     0.000  -1.284761   0.087014   0.007507   0.094521   0.031318   0.011529  -0.104729  -0.008690  -0.008688   30.0000    -0.0348
  -17.500     0.000  -1.241005   0.081725   0.008446   0.090171   0.031578   0.011436  -0.104718  -0.008941  -0.008939   30.0000    -0.0362
  -17.000     0.000  -1.197195   0.076574   0.007745   0.084320   0.031827   0.011334  -0.104196  -0.009188  -0.009186   30.0000    -0.0376
  -16.500     0.000  -1.153343   0.071567   0.011827   0.083394   0.032066   0.011222  -0.104159  -0.009433  -0.009429   30.0000    -0.0393
  -16.000     0.000  -1.109460   0.066707   0.011272   0.077979   0.032294   0.011101  -0.103934  -0.009670  -0.009667   30.0000    -0.0411
  -15.500     0.000  -1.065560   0.061998   0.012205   0.074203   0.032510   0.010971  -0.104210  -0.009903  -0.009900   30.0000    -0.0430
  -15.000     0.000  -1.021655   0.057443   0.015493   0.072935   0.032716   0.010833  -0.103684  -0.010146  -0.010128   30.0000    -0.0452
  -14.500     0.000  -0.977757   0.053046   0.017140   0.070186   0.032910   0.010686  -0.103356  -0.010360  -0.010350   30.0000    -0.0475
  -14.000     0.000  -0.933879   0.048810   0.017103   0.065913   0.033094   0.010530  -0.103819  -0.010572  -0.010566   30.0000    -0.0502
  -13.500     0.000  -0.890033   0.044740   0.015971   0.060711   0.033265   0.010367  -0.103986  -0.010782  -0.010776   30.0000    -0.0531
  -13.000     0.000  -0.846232   0.040838   0.017716   0.058553   0.033426   0.010195  -0.103869  -0.010987  -0.010980   30.0000    -0.0563
  -12.500     0.000  -0.802488   0.037107   0.020562   0.057669   0.033575   0.010016  -0.103520  -0.010774  -0.011177   30.0000    -0.0599
  -12.000     0.000  -0.758813   0.033550   0.022689   0.056239   0.033713   0.009830  -0.103523  -0.011382  -0.011367   30.0000    -0.0640
  -11.500     0.000  -0.715221   0.030170   0.021235   0.051405   0.033839   0.009636  -0.104322  -0.011561  -0.011549   30.0000    -0.0686
  -11.000     0.000  -0.671723   0.026971   0.020067   0.047037   0.033953   0.009436  -0.105163  -0.011734  -0.011724   30.0000    -0.0738
  -10.500     0.000  -0.628334   0.023954   0.019085   0.043039   0.034056   0.009229  -0.106063  -0.011900  -0.011891   30.0000    -0.0798
  -10.000     0.000  -0.585067   0.021121   0.018229   0.039350   0.034148   0.009016  -0.107038  -0.012058  -0.012050   30.0000    -0.0867
   -9.500     0.000  -0.541936   0.018476   0.017457   0.035933   0.034228   0.008797  -0.108089  -0.012208  -0.012202   30.0000    -0.0947
   -9.000     0.000  -0.498955   0.016021   0.016783   0.032803   0.034296   0.008573  -0.109220  -0.012350  -0.012344   30.0000    -0.1041
   -8.500     0.000  -0.456140   0.013756   0.016195   0.029951   0.034353   0.008343  -0.110431  -0.012484  -0.012478   30.0000    -0.1154
   -8.000     0.000  -0.413508   0.011684   0.015670   0.027354   0.034399   0.008108  -0.111722  -0.012609  -0.012604   30.0000    -0.1289
   -7.500     0.000  -0.371075   0.009807   0.015193   0.025000   0.034432   0.007869  -0.113091  -0.012725  -0.012721   30.0000    -0.1456
   -7.000     0.000  -0.328861   0.008125   0.014739   0.022864   0.034455   0.007625  -0.114537  -0.012833  -0.012828   30.0000    -0.1665
   -6.500     0.000  -0.286885   0.006639   0.014349   0.020988   0.034466   0.007377  -0.116050  -0.012931  -0.012927   30.0000    -0.1935
   -6.000     0.000  -0.245168   0.005350   0.014028   0.019378   0.034466   0.007126  -0.117621  -0.013020  -0.013016   30.0000    -0.2296
   -5.500     0.000  -0.203731   0.004259   0.013738   0.017997   0.034454   0.006872  -0.119244  -0.013100  -0.013097   30.0000    -0.2801
   -5.000     0.000  -0.162590   0.003365   0.013483   0.016848   0.034432   0.006614  -0.120912  -0.013171  -0.013167   30.0000    -0.3559
   -4.500     0.000  -0.121753   0.002668   0.013284   0.015952   0.034398   0.006355  -0.122616  -0.013232  -0.013229   30.0000    -0.4819
   -4.000     0.000  -0.081201   0.002167   0.013064   0.015231   0.034353   0.006092  -0.124367  -0.013284  -0.013281   30.0000    -0.7325
   -3.500     0.000  -0.040838   0.001863   0.012937   0.014800   0.034297   0.005828  -0.126201  -0.013325  -0.013323   30.0000    -1.4772
   -3.000     0.000  -0.000380   0.001753   0.012891   0.014644   0.034231   0.005563  -0.128277  -0.013358  -0.013356   30.0000  -161.3106
   -2.500     0.000   0.040838   0.001836   0.012868   0.014704   0.034154   0.005296  -0.131023  -0.013381  -0.013380   30.0000     1.5313
   -2.000     0.000   0.083683   0.002104   0.012810   0.014914   0.034067   0.005028  -0.135090  -0.013397  -0.013394   30.0000     0.7697
   -1.500     0.000   0.127521   0.002489   0.012627   0.015116   0.033971   0.004760  -0.140156  -0.013401  -0.013399   30.0000     0.5234
   -1.000     0.000   0.169917   0.003154   0.012324   0.015478   0.033865   0.004493  -0.144359  -0.013399  -0.013395   30.0000     0.4040
   -0.500     0.000   0.209542   0.004011   0.012176   0.016187   0.033751   0.004228  -0.146799  -0.013384  -0.013382   30.0000     0.3328
    0.000     0.000   0.247588   0.005060   0.012201   0.017261   0.033630   0.003962  -0.148409  -0.013361  -0.013360   30.0000     0.2844
    0.500     0.000   0.285234   0.006309   0.012259   0.018567   0.033500   0.003698  -0.149968  -0.013331  -0.013330   30.0000     0.2492
    1.000     0.000   0.322875   0.007775   0.012339   0.020114   0.033364   0.003434  -0.151695  -0.013289  -0.013292   30.0000     0.2224
    1.500     0.000   0.360565   0.009481   0.012487   0.021968   0.033222   0.003173  -0.153597  -0.013245  -0.013245   30.0000     0.2014
    2.000     0.000   0.398263   0.011429   0.012613   0.024043   0.033073   0.002913  -0.155642  -0.013188  -0.013189   30.0000     0.1845
    2.500     0.000   0.435896   0.013568   0.012869   0.026437   0.032917   0.002655  -0.157791  -0.013124  -0.013125   30.0000     0.1707
    3.000     0.000   0.473382   0.015823   0.013111   0.028935   0.032756   0.002400  -0.160020  -0.013051  -0.013052   30.0000     0.1592
    3.500     0.000   0.510676   0.018184   0.013422   0.031606   0.032587   0.002148  -0.162304  -0.012968  -0.012970   30.0000     0.1495
