xflr5 v6.43

Plane name :        base
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.925269   0.178204   0.000572   0.178777  -0.000000  -0.000000  -0.101930   0.000000   0.000000   30.0000    -0.0165
  -24.500     0.000  -1.883784   0.171318   0.000572   0.171890  -0.000000  -0.000000  -0.099876   0.000000   0.000000   30.0000    -0.0168
  -24.000     0.000  -1.842059   0.164505   0.000572   0.165078  -0.000000  -0.000000  -0.097898   0.000000   0.000000   30.0000    -0.0170
  -23.500     0.000  -1.800106   0.157772   0.000572   0.158344  -0.000000  -0.000000  -0.095997   0.000000   0.000000   30.0000    -0.0173
  -23.000     0.000  -1.757939   0.151122   0.000572   0.151695  -0.000000  -0.000000  -0.094176   0.000000   0.000000   30.0000    -0.0176
  -22.500     0.000  -1.715571   0.144561   0.003714   0.148276   0.000000   0.000000  -0.092235   0.000000   0.000000   30.0000    -0.0180
  -22.000     0.000  -1.673015   0.138094   0.003487   0.141581  -0.000000  -0.000000  -0.090592   0.000000   0.000000   30.0000    -0.0183
  -21.500     0.000  -1.630283   0.131725   0.006678   0.138403  -0.000000  -0.000000  -0.088742   0.000000   0.000000   30.0000    -0.0188
  -21.000     0.000  -1.587388   0.125458   0.006171   0.131630  -0.000000   0.000000  -0.087295   0.000000   0.000000   30.0000    -0.0192
  -20.500     0.000  -1.544344   0.119299   0.005846   0.125145  -0.000000  -0.000000  -0.085919   0.000000   0.000000   30.0000    -0.0197
  -20.000     0.000  -1.501163   0.113251   0.005572   0.118823  -0.000000  -0.000000  -0.084625   0.000000   0.000000   30.0000    -0.0203
  -19.500     0.000  -1.457858   0.107320   0.005454   0.112774  -0.000000   0.000000  -0.083463  -0.000000   0.000000   30.0000    -0.0209
  -19.000     0.000  -1.414442   0.101509   0.008144   0.109653  -0.000000  -0.000000  -0.081979  -0.000000   0.000000   30.0000    -0.0215
  -18.500     0.000  -1.370927   0.095823   0.007671   0.103494  -0.000000  -0.000000  -0.080976  -0.000000   0.000000   30.0000    -0.0223
  -18.000     0.000  -1.327326   0.090265   0.007298   0.097563  -0.000000   0.000000  -0.080056  -0.000000   0.000000   30.0000    -0.0231
  -17.500     0.000  -1.283653   0.084841   0.008240   0.093082  -0.000000   0.000000  -0.079663   0.000000   0.000000   30.0000    -0.0239
  -17.000     0.000  -1.239918   0.079555   0.007509   0.087064  -0.000000  -0.000000  -0.078754   0.000000   0.000000   30.0000    -0.0249
  -16.500     0.000  -1.196137   0.074409   0.011840   0.086249  -0.000000  -0.000000  -0.078324   0.000000   0.000000   30.0000    -0.0259
  -16.000     0.000  -1.152319   0.069408   0.011161   0.080570  -0.000000  -0.000000  -0.077749  -0.000000   0.000000   30.0000    -0.0271
  -15.500     0.000  -1.108479   0.064557   0.011422   0.075979  -0.000000  -0.000000  -0.077479  -0.000000   0.000000   30.0000    -0.0284
  -15.000     0.000  -1.064629   0.059858   0.011982   0.071840  -0.000000   0.000000  -0.077349  -0.000000   0.000000   30.0000    -0.0298
  -14.500     0.000  -1.020780   0.055315   0.015253   0.070568  -0.000000  -0.000000  -0.076680  -0.000000   0.000000   30.0000    -0.0313
  -14.000     0.000  -0.976946   0.050932   0.015311   0.066243  -0.000000  -0.000000  -0.076732   0.000000   0.000000   30.0000    -0.0330
  -13.500     0.000  -0.933139   0.046712   0.014269   0.060982  -0.000000  -0.000000  -0.076515   0.000000   0.000000   30.0000    -0.0349
  -13.000     0.000  -0.889371   0.042659   0.013598   0.056257  -0.000000   0.000000  -0.076466   0.000000   0.000000   30.0000    -0.0370
  -12.500     0.000  -0.845655   0.038775   0.017838   0.056613   0.000000   0.000000  -0.075537   0.000000   0.000000   30.0000    -0.0394
  -12.000     0.000  -0.802002   0.035064   0.016640   0.051705  -0.000000   0.000000  -0.075873   0.000000   0.000000   30.0000    -0.0421
  -11.500     0.000  -0.758427   0.031529   0.018348   0.049878  -0.000000  -0.000000  -0.075789   0.000000   0.000000   30.0000    -0.0451
  -11.000     0.000  -0.714941   0.028173   0.019836   0.048009  -0.000000   0.000000  -0.075834   0.000000   0.000000   30.0000    -0.0485
  -10.500     0.000  -0.671557   0.024998   0.020575   0.045572  -0.000000   0.000000  -0.076118   0.000000   0.000000   30.0000    -0.0524
  -10.000     0.000  -0.628290   0.022006   0.019381   0.041387  -0.000000  -0.000000  -0.076909   0.000000   0.000000   30.0000    -0.0568
   -9.500     0.000  -0.585153   0.019200   0.018385   0.037585  -0.000000  -0.000000  -0.077763   0.000000   0.000000   30.0000    -0.0620
   -9.000     0.000  -0.542160   0.016583   0.017538   0.034121  -0.000000  -0.000000  -0.078696   0.000000   0.000000   30.0000    -0.0680
   -8.500     0.000  -0.499326   0.014156   0.016805   0.030961  -0.000000  -0.000000  -0.079714   0.000000   0.000000   30.0000    -0.0751
   -8.000     0.000  -0.456669   0.011921   0.016166   0.028087  -0.000000  -0.000000  -0.080817   0.000000   0.000000   30.0000    -0.0835
   -7.500     0.000  -0.414204   0.009879   0.015592   0.025471  -0.000000  -0.000000  -0.082006   0.000000   0.000000   30.0000    -0.0937
   -7.000     0.000  -0.371951   0.008033   0.015084   0.023117  -0.000000  -0.000000  -0.083277   0.000000   0.000000   30.0000    -0.1063
   -6.500     0.000  -0.329927   0.006382   0.014637   0.021019  -0.000000  -0.000000  -0.084627   0.000000   0.000000   30.0000    -0.1220
   -6.000     0.000  -0.288152   0.004928   0.014229   0.019157  -0.000000  -0.000000  -0.086053   0.000000   0.000000   30.0000    -0.1423
   -5.500     0.000  -0.246645   0.003671   0.013845   0.017516  -0.000000   0.000000  -0.087547   0.000000   0.000000   30.0000    -0.1693
   -5.000     0.000  -0.205422   0.002612   0.013528   0.016140  -0.000000  -0.000000  -0.089097   0.000000   0.000000   30.0000    -0.2071
   -4.500     0.000  -0.164488   0.001749   0.013271   0.015020  -0.000000  -0.000000  -0.090701   0.000000   0.000000   30.0000    -0.2635
   -4.000     0.000  -0.123824   0.001084   0.013038   0.014121  -0.000000   0.000000  -0.092368   0.000000   0.000000   30.0000    -0.3565
   -3.500     0.000  -0.083341   0.000614   0.012845   0.013459  -0.000000   0.000000  -0.094136   0.000000   0.000000   30.0000    -0.5398
   -3.000     0.000  -0.042793   0.000338   0.012721   0.013059  -0.000000   0.000000  -0.096135   0.000000   0.000000   30.0000    -1.0734
   -2.500     0.000  -0.001619   0.000256   0.012651   0.012907  -0.000000   0.000000  -0.098713   0.000000   0.000000   30.0000   -29.1235
   -2.000     0.000   0.040963   0.000363   0.012588   0.012950  -0.000000   0.000000  -0.102451   0.000000   0.000000   30.0000     1.1932
   -1.500     0.000   0.084865   0.000601   0.012556   0.013157  -0.000000   0.000000  -0.107428   0.000000   0.000000   30.0000     0.6032
   -1.000     0.000   0.128026   0.001076   0.012452   0.013528  -0.000000   0.000000  -0.112071   0.000000   0.000000   30.0000     0.4166
   -0.500     0.000   0.168101   0.001761   0.012239   0.013999  -0.000000   0.000000  -0.114716   0.000000   0.000000   30.0000     0.3243
    0.000     0.000   0.206172   0.002637   0.012014   0.014651  -0.000000  -0.000000  -0.116240   0.000000   0.000000   30.0000     0.2676
    0.500     0.000   0.243762   0.003700   0.011927   0.015627   0.000000   0.000000  -0.117669   0.000000  -0.000000   30.0000     0.2288
    1.000     0.000   0.281375   0.004952   0.011906   0.016858   0.000000  -0.000000  -0.119302   0.000000  -0.000000   30.0000     0.2006
    1.500     0.000   0.319065   0.006397   0.011868   0.018265  -0.000000  -0.000000  -0.121156   0.000000  -0.000000   30.0000     0.1794
    2.000     0.000   0.356783   0.008038   0.012033   0.020071  -0.000000  -0.000000  -0.123185   0.000000  -0.000000   30.0000     0.1629
    2.500     0.000   0.394462   0.009876   0.012218   0.022093   0.000000  -0.000000  -0.125347   0.000000  -0.000000   30.0000     0.1496
    3.000     0.000   0.432049   0.011910   0.012438   0.024349   0.000000  -0.000000  -0.127609   0.000000  -0.000000   30.0000     0.1389
    3.500     0.000   0.469496   0.014143   0.012671   0.026814   0.000000   0.000000  -0.129944   0.000000  -0.000000   30.0000     0.1299
    4.000     0.000   0.506765   0.016572   0.012946   0.029518  -0.000000  -0.000000  -0.132336   0.000000   0.000000   30.0000     0.1224
    4.500     0.000   0.543825   0.019198   0.013250   0.032449  -0.000000   0.000000  -0.134771   0.000000   0.000000   30.0000     0.1159
    5.000     0.000   0.580650   0.022020   0.013625   0.035645   0.000000  -0.000000  -0.137240   0.000000  -0.000000   30.0000     0.1104
    5.500     0.000   0.617215   0.025036   0.014024   0.039060   0.000000  -0.000000  -0.139733   0.000000  -0.000000   30.0000     0.1055
    6.000     0.000   0.653501   0.028244   0.014518   0.042762  -0.000000   0.000000  -0.142245   0.000000   0.000000   30.0000     0.1013
    6.500     0.000   0.689489   0.031643   0.015057   0.046700  -0.000000  -0.000000  -0.144774   0.000000   0.000000   30.0000     0.0976
    7.000     0.000   0.725163   0.035231   0.015585   0.050816   0.000000  -0.000000  -0.147310   0.000000  -0.000000   30.0000     0.0943
    7.500     0.000   0.760507   0.039005   0.016146   0.055151   0.000000  -0.000000  -0.149852   0.000000  -0.000000   30.0000     0.0913
    8.000     0.000   0.795507   0.042963   0.016709   0.059671  -0.000000   0.000000  -0.152393   0.000000   0.000000   30.0000     0.0887
