xflr5 v6.43

Plane name :        base
Polar name :        T5-a0.0°-30.0m/s-VLM2-34.9kg-x0.0mm-TG

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000   -10.000   0.212559   0.005343   0.012556   0.017899   0.044542   0.012133  -0.111798  -0.016349  -0.016384   30.0000     0.2504
    0.000    -9.500   0.213665   0.005106   0.012513   0.017619   0.042267   0.011749  -0.111520  -0.015536  -0.015572   30.0000     0.2484
    0.000    -9.000   0.215511   0.004883   0.012469   0.017352   0.040048   0.011046  -0.112265  -0.014747  -0.014781   30.0000     0.2478
    0.000    -8.500   0.218165   0.004657   0.012403   0.017060   0.037876   0.009968  -0.114292  -0.013983  -0.014006   30.0000     0.2491
    0.000    -8.000   0.220513   0.004402   0.012335   0.016737   0.035728   0.008735  -0.116597  -0.013225  -0.013235   30.0000     0.2514
    0.000    -7.500   0.221073   0.004128   0.012296   0.016424   0.033575   0.007657  -0.117619  -0.012452  -0.012456   30.0000     0.2529
    0.000    -7.000   0.219699   0.003880   0.012271   0.016150   0.031416   0.006689  -0.117124  -0.011674  -0.011674   30.0000     0.2533
    0.000    -6.500   0.217214   0.003681   0.012250   0.015931   0.029254   0.005717  -0.115671  -0.010894  -0.010891   30.0000     0.2530
    0.000    -6.000   0.214872   0.003532   0.012245   0.015777   0.027052   0.004934  -0.113898  -0.010096  -0.010088   30.0000     0.2519
    0.000    -5.500   0.213728   0.003409   0.012236   0.015646   0.024781   0.004517  -0.112513  -0.009260  -0.009251   30.0000     0.2501
    0.000    -5.000   0.213775   0.003292   0.012220   0.015512   0.022464   0.004364  -0.111803  -0.008397  -0.008391   30.0000     0.2485
    0.000    -4.500   0.214256   0.003173   0.012198   0.015371   0.020145   0.004321  -0.111480  -0.007525  -0.007525   30.0000     0.2472
    0.000    -4.000   0.214534   0.003056   0.012180   0.015237   0.017852   0.004317  -0.111126  -0.006658  -0.006665   30.0000     0.2461
    0.000    -3.500   0.214572   0.002955   0.012170   0.015124   0.015598   0.004307  -0.110656  -0.005803  -0.005817   30.0000     0.2450
    0.000    -3.000   0.214565   0.002877   0.012162   0.015039   0.013374   0.004253  -0.110187  -0.004958  -0.004979   30.0000     0.2439
    0.000    -2.500   0.214806   0.002819   0.012153   0.014972   0.011157   0.004115  -0.109902  -0.004118  -0.004144   30.0000     0.2430
    0.000    -2.000   0.215962   0.002773   0.012133   0.014906   0.008932   0.003762  -0.110228  -0.003283  -0.003310   30.0000     0.2424
    0.000    -1.500   0.218783   0.002732   0.012086   0.014819   0.006716   0.002947  -0.111702  -0.002468  -0.002487   30.0000     0.2424
    0.000    -1.000   0.222649   0.002691   0.012040   0.014731   0.004523   0.001694  -0.114000  -0.001672  -0.001679   30.0000     0.2430
    0.000    -0.500   0.225406   0.002653   0.012018   0.014672   0.002293   0.000621  -0.115710  -0.000854  -0.000855   30.0000     0.2436
    0.000     0.000   0.226256   0.002637   0.012014   0.014651  -0.000000  -0.000000  -0.116240   0.000000   0.000000   30.0000     0.2438
    0.000     0.500   0.225406   0.002653   0.012019   0.014673  -0.002293  -0.000621  -0.115710   0.000854   0.000855   30.0000     0.2436
    0.000     1.000   0.222649   0.002691   0.012040   0.014731  -0.004523  -0.001694  -0.114000   0.001672   0.001679   30.0000     0.2430
    0.000     1.500   0.218783   0.002732   0.012087   0.014819  -0.006716  -0.002947  -0.111702   0.002468   0.002487   30.0000     0.2424
    0.000     2.000   0.215962   0.002773   0.012133   0.014906  -0.008932  -0.003762  -0.110228   0.003283   0.003310   30.0000     0.2424
    0.000     2.500   0.214806   0.002819   0.012153   0.014972  -0.011157  -0.004115  -0.109902   0.004118   0.004144   30.0000     0.2430
    0.000     3.000   0.214565   0.002877   0.012162   0.015039  -0.013374  -0.004253  -0.110186   0.004958   0.004979   30.0000     0.2439
    0.000     3.500   0.214572   0.002955   0.012170   0.015125  -0.015598  -0.004307  -0.110656   0.005803   0.005817   30.0000     0.2450
    0.000     4.000   0.214534   0.003056   0.012180   0.015237  -0.017852  -0.004317  -0.111126   0.006658   0.006665   30.0000     0.2461
    0.000     4.500   0.214256   0.003173   0.012198   0.015371  -0.020145  -0.004321  -0.111480   0.007525   0.007525   30.0000     0.2472
    0.000     5.000   0.213775   0.003292   0.012220   0.015512  -0.022464  -0.004364  -0.111803   0.008397   0.008391   30.0000     0.2485
    0.000     5.500   0.213728   0.003409   0.012236   0.015646  -0.024781  -0.004517  -0.112513   0.009260   0.009251   30.0000     0.2501
    0.000     6.000   0.214872   0.003532   0.012245   0.015777  -0.027052  -0.004934  -0.113898   0.010096   0.010088   30.0000     0.2519
    0.000     6.500   0.217214   0.003681   0.012250   0.015931  -0.029254  -0.005717  -0.115671   0.010894   0.010891   30.0000     0.2530
    0.000     7.000   0.219699   0.003880   0.012271   0.016150  -0.031416  -0.006689  -0.117124   0.011674   0.011674   30.0000     0.2533
    0.000     7.500   0.221073   0.004128   0.012296   0.016424  -0.033575  -0.007657  -0.117619   0.012452   0.012456   30.0000     0.2529
    0.000     8.000   0.220513   0.004402   0.012335   0.016737  -0.035728  -0.008735  -0.116597   0.013225   0.013235   30.0000     0.2514
    0.000     8.500   0.218165   0.004657   0.012403   0.017060  -0.037876  -0.009968  -0.114292   0.013983   0.014006   30.0000     0.2491
    0.000     9.000   0.215511   0.004883   0.012469   0.017352  -0.040048  -0.011046  -0.112265   0.014747   0.014781   30.0000     0.2478
    0.000     9.500   0.213665   0.005106   0.012513   0.017619  -0.042267  -0.011749  -0.111520   0.015536   0.015572   30.0000     0.2484
    0.000    10.000   0.212559   0.005343   0.012556   0.017899  -0.044542  -0.012133  -0.111798   0.016349   0.016384   30.0000     0.2504


