xflr5 v6.43

Plane name :        elevator -10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.973905   0.205572   0.000572   0.206144  -0.000000  -0.000000  -0.205654   0.000000   0.000000   30.0000    -0.0494
  -24.500     0.000  -1.932553   0.198291   0.000572   0.198863  -0.000000   0.000000  -0.205986   0.000000   0.000000   30.0000    -0.0506
  -24.000     0.000  -1.890954   0.191070   0.000572   0.191643  -0.000000  -0.000000  -0.206380   0.000000   0.000000   30.0000    -0.0519
  -23.500     0.000  -1.849121   0.183916   0.000572   0.184489  -0.000000  -0.000000  -0.206835   0.000000   0.000000   30.0000    -0.0533
  -23.000     0.000  -1.807068   0.176833   0.003590   0.180423  -0.000000   0.000000  -0.207159   0.000000   0.000000   30.0000    -0.0547
  -22.500     0.000  -1.764807   0.169826   0.007253   0.177079  -0.000000   0.000000  -0.207416   0.000000   0.000000   30.0000    -0.0562
  -22.000     0.000  -1.722351   0.162900   0.006306   0.169207  -0.000000  -0.000000  -0.208142   0.000000   0.000000   30.0000    -0.0579
  -21.500     0.000  -1.679713   0.156060   0.005951   0.162011  -0.000000  -0.000000  -0.208879   0.000000   0.000000   30.0000    -0.0596
  -21.000     0.000  -1.636906   0.149311   0.005658   0.154969   0.000000   0.000000  -0.209672   0.000000   0.000000   30.0000    -0.0614
  -20.500     0.000  -1.593942   0.142658   0.005407   0.148065  -0.000000  -0.000000  -0.210524   0.000000   0.000000   30.0000    -0.0634
  -20.000     0.000  -1.550833   0.136105   0.008077   0.144182  -0.000000  -0.000000  -0.211075   0.000000   0.000000   30.0000    -0.0654
  -19.500     0.000  -1.507594   0.129657   0.007614   0.137271  -0.000000  -0.000000  -0.212083   0.000000   0.000000   30.0000    -0.0676
  -19.000     0.000  -1.464236   0.123319   0.007239   0.130558  -0.000000  -0.000000  -0.213140   0.000000   0.000000   30.0000    -0.0700
  -18.500     0.000  -1.420771   0.117095   0.006916   0.124011  -0.000000  -0.000000  -0.214250   0.000000   0.000000   30.0000    -0.0725
  -18.000     0.000  -1.377211   0.110990   0.006628   0.117618  -0.000000   0.000000  -0.215415   0.000000   0.000000   30.0000    -0.0752
  -17.500     0.000  -1.333569   0.105007   0.008868   0.113875  -0.000000   0.000000  -0.216256   0.000000   0.000000   30.0000    -0.0782
  -17.000     0.000  -1.289857   0.099153   0.008390   0.107542  -0.000000  -0.000000  -0.217572   0.000000   0.000000   30.0000    -0.0813
  -16.500     0.000  -1.246085   0.093429   0.007998   0.101427  -0.000000  -0.000000  -0.218928   0.000000   0.000000   30.0000    -0.0846
  -16.000     0.000  -1.202264   0.087841   0.007659   0.095500  -0.000000  -0.000000  -0.220328   0.000000   0.000000   30.0000    -0.0882
  -15.500     0.000  -1.158406   0.082393   0.010371   0.092765  -0.000000  -0.000000  -0.221267   0.000000   0.000000   30.0000    -0.0921
  -15.000     0.000  -1.114520   0.077089   0.009919   0.087008  -0.000000   0.000000  -0.222885  -0.000000   0.000000   30.0000    -0.0964
  -14.500     0.000  -1.070616   0.071931   0.011417   0.083348  -0.000000  -0.000000  -0.224998  -0.000000   0.000000   30.0000    -0.1010
  -14.000     0.000  -1.026701   0.066924   0.012311   0.079235  -0.000000  -0.000000  -0.226895   0.000000   0.000000   30.0000    -0.1060
  -13.500     0.000  -0.982784   0.062072   0.011483   0.073555  -0.000000   0.000000  -0.228359   0.000000   0.000000   30.0000    -0.1114
  -13.000     0.000  -0.938870   0.057377   0.015556   0.072933  -0.000000   0.000000  -0.229955  -0.000000   0.000000   30.0000    -0.1174
  -12.500     0.000  -0.894964   0.052843   0.014507   0.067350  -0.000000   0.000000  -0.231495  -0.000000   0.000000   30.0000    -0.1239
  -12.000     0.000  -0.851069   0.048473   0.015843   0.064316  -0.000000   0.000000  -0.232658   0.000000   0.000000   30.0000    -0.1311
  -11.500     0.000  -0.807183   0.044269   0.019820   0.064090  -0.000000  -0.000000  -0.234311  -0.000000   0.000000   30.0000    -0.1391
  -11.000     0.000  -0.763303   0.040235   0.021294   0.061529   0.000000   0.000000  -0.236418  -0.000000   0.000000   30.0000    -0.1481
  -10.500     0.000  -0.719422   0.036373   0.024582   0.060956   0.000000   0.000000  -0.237193   0.000000   0.000000   30.0000    -0.1581
  -10.000     0.000  -0.675527   0.032686   0.023822   0.056508  -0.000000  -0.000000  -0.238971   0.000000   0.000000   30.0000    -0.1693
   -9.500     0.000  -0.631596   0.029176   0.022231   0.051407  -0.000000  -0.000000  -0.240541   0.000000   0.000000   30.0000    -0.1822
   -9.000     0.000  -0.587603   0.025845   0.020898   0.046743  -0.000000  -0.000000  -0.242104   0.000000   0.000000   30.0000    -0.1969
   -8.500     0.000  -0.543506   0.022696   0.019688   0.042384  -0.000000  -0.000000  -0.243674   0.000000   0.000000   30.0000    -0.2141
   -8.000     0.000  -0.499249   0.019732   0.018639   0.038371  -0.000000  -0.000000  -0.245293   0.000000   0.000000   30.0000    -0.2345
   -7.500     0.000  -0.454758   0.016953   0.017641   0.034595  -0.000000   0.000000  -0.247022   0.000000   0.000000   30.0000    -0.2590
   -7.000     0.000  -0.409934   0.014363   0.016832   0.031196  -0.000000  -0.000000  -0.248963   0.000000   0.000000   30.0000    -0.2894
   -6.500     0.000  -0.364652   0.011962   0.016191   0.028153  -0.000000  -0.000000  -0.251254   0.000000   0.000000   30.0000    -0.3281
   -6.000     0.000  -0.318782   0.009750   0.015721   0.025471  -0.000000  -0.000000  -0.254081   0.000000   0.000000   30.0000    -0.3792
   -5.500     0.000  -0.272233   0.007721   0.015312   0.023034  -0.000000  -0.000000  -0.257653   0.000000   0.000000   30.0000    -0.4500
   -5.000     0.000  -0.225112   0.005871   0.014953   0.020824  -0.000000  -0.000000  -0.262131   0.000000   0.000000   30.0000    -0.5533
   -4.500     0.000  -0.178070   0.004195   0.014702   0.018897  -0.000000   0.000000  -0.267411   0.000000   0.000000   30.0000    -0.7130
   -4.000     0.000  -0.132974   0.002719   0.014495   0.017214  -0.000000  -0.000000  -0.272700   0.000000   0.000000   30.0000    -0.9731
   -3.500     0.000  -0.093632   0.001517   0.014094   0.015611   0.000000   0.000000  -0.275949   0.000000  -0.000000   30.0000    -1.3973
   -3.000     0.000  -0.065064   0.000456   0.013777   0.014233  -0.000000   0.000000  -0.274057   0.000000   0.000000   30.0000    -1.9955
   -2.500     0.000  -0.051068  -0.003504   0.013625   0.010122  -0.000000   0.000000  -0.265166   0.000000   0.000000   30.0000    -2.4582
   -2.000     0.000  -0.039115  -0.014378   0.013400  -0.000978  -0.000000  -0.000000  -0.253516   0.000000   0.000000   30.0000    -3.0667
   -1.500     0.000  -0.002867   0.000933   0.013059   0.013992  -0.000000  -0.000000  -0.255302   0.000000   0.000000   30.0000   -42.1074
   -1.000     0.000   0.047990   0.001909   0.012877   0.014786  -0.000000   0.000000  -0.268138   0.000000   0.000000   30.0000     2.6412
   -0.500     0.000   0.099232   0.002249   0.012855   0.015104   0.000000  -0.000000  -0.279730   0.000000  -0.000000   30.0000     1.3320
    0.000     0.000   0.146046   0.002713   0.012695   0.015408  -0.000000  -0.000000  -0.287778   0.000000   0.000000   30.0000     0.9308
    0.500     0.000   0.189068   0.003392   0.012490   0.015882   0.000000   0.000000  -0.293338   0.000000  -0.000000   30.0000     0.7328
    1.000     0.000   0.229555   0.004274   0.012473   0.016747   0.000000  -0.000000  -0.297471   0.000000  -0.000000   30.0000     0.6120
    1.500     0.000   0.268496   0.005347   0.012498   0.017845   0.000000  -0.000000  -0.300855   0.000000  -0.000000   30.0000     0.5292
    2.000     0.000   0.306531   0.006601   0.012621   0.019222   0.000000  -0.000000  -0.303854   0.000000  -0.000000   30.0000     0.4682
    2.500     0.000   0.344027   0.008036   0.012763   0.020799   0.000000  -0.000000  -0.306656   0.000000  -0.000000   30.0000     0.4211
    3.000     0.000   0.381178   0.009653   0.012919   0.022572   0.000000  -0.000000  -0.309349   0.000000  -0.000000   30.0000     0.3835
    3.500     0.000   0.418075   0.011454   0.013089   0.024543   0.000000   0.000000  -0.311972   0.000000  -0.000000   30.0000     0.3528
    4.000     0.000   0.454752   0.013442   0.013305   0.026747  -0.000000   0.000000  -0.314540   0.000000   0.000000   30.0000     0.3272
    4.500     0.000   0.491214   0.015619   0.013641   0.029259  -0.000000  -0.000000  -0.317058   0.000000   0.000000   30.0000     0.3055
    5.000     0.000   0.527451   0.017984   0.013999   0.031983   0.000000  -0.000000  -0.319529   0.000000  -0.000000   30.0000     0.2869
    5.500     0.000   0.563446   0.020539   0.014388   0.034927   0.000000  -0.000000  -0.321946   0.000000  -0.000000   30.0000     0.2709
