xflr5 v6.43

Plane name :        elevator 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.851088   0.161621   0.000572   0.162193  -0.000000  -0.000000   0.039133   0.000000   0.000000   30.0000     0.0312
  -24.500     0.000  -1.810100   0.155054   0.000572   0.155627  -0.000000  -0.000000   0.043432   0.000000   0.000000   30.0000     0.0321
  -24.000     0.000  -1.768877   0.148568   0.000572   0.149141  -0.000000  -0.000000   0.047597   0.000000   0.000000   30.0000     0.0331
  -23.500     0.000  -1.727433   0.142168   0.000572   0.142741  -0.000000   0.000000   0.051625   0.000000   0.000000   30.0000     0.0340
  -23.000     0.000  -1.685779   0.135859   0.000572   0.136431  -0.000000   0.000000   0.055515   0.000000   0.000000   30.0000     0.0350
  -22.500     0.000  -1.643929   0.129645   0.000651   0.130295  -0.000000   0.000000   0.059227  -0.000000  -0.000000   30.0000     0.0361
  -22.000     0.000  -1.601895   0.123530   0.000646   0.124177  -0.000000  -0.000000   0.062837  -0.000000   0.000000   30.0000     0.0371
  -21.500     0.000  -1.559689   0.117521   0.000643   0.118164  -0.000000   0.000000   0.066301  -0.000000   0.000000   30.0000     0.0382
  -21.000     0.000  -1.517324   0.111621   0.003697   0.115317  -0.000000   0.000000   0.069808  -0.000000   0.000000   30.0000     0.0394
  -20.500     0.000  -1.474812   0.105834   0.007597   0.113431  -0.000000  -0.000000   0.071199   0.000000   0.000000   30.0000     0.0406
  -20.000     0.000  -1.432167   0.100166   0.009764   0.109930  -0.000000  -0.000000   0.074895   0.000000   0.000000   30.0000     0.0418
  -19.500     0.000  -1.389400   0.094620   0.008689   0.103309  -0.000000  -0.000000   0.078038  -0.000000   0.000000   30.0000     0.0431
  -19.000     0.000  -1.346524   0.089202   0.009415   0.098617  -0.000000  -0.000000   0.080341  -0.000000   0.000000   30.0000     0.0444
  -18.500     0.000  -1.303551   0.083914   0.009467   0.093380  -0.000000  -0.000000   0.082798  -0.000000   0.000000   30.0000     0.0458
  -18.000     0.000  -1.260495   0.078761   0.010017   0.088778   0.000000   0.000000   0.084940  -0.000000   0.000000   30.0000     0.0473
  -17.500     0.000  -1.217367   0.073748   0.013106   0.086854  -0.000000   0.000000   0.087421  -0.000000   0.000000   30.0000     0.0489
  -17.000     0.000  -1.174180   0.068877   0.012576   0.081454  -0.000000  -0.000000   0.089546   0.000000   0.000000   30.0000     0.0505
  -16.500     0.000  -1.130947   0.064154   0.011813   0.075967  -0.000000  -0.000000   0.091624   0.000000   0.000000   30.0000     0.0522
  -16.000     0.000  -1.087679   0.059581   0.011253   0.070834  -0.000000  -0.000000   0.093486   0.000000   0.000000   30.0000     0.0541
  -15.500     0.000  -1.044390   0.055162   0.010810   0.065972  -0.000000  -0.000000   0.095156   0.000000   0.000000   30.0000     0.0560
  -15.000     0.000  -1.001092   0.050901   0.013074   0.063976  -0.000000   0.000000   0.097003   0.000000   0.000000   30.0000     0.0581
  -14.500     0.000  -0.957797   0.046801   0.012447   0.059248  -0.000000  -0.000000   0.098270   0.000000   0.000000   30.0000     0.0603
  -14.000     0.000  -0.914519   0.042865   0.011966   0.054831  -0.000000  -0.000000   0.099385   0.000000   0.000000   30.0000     0.0627
  -13.500     0.000  -0.871269   0.039097   0.011551   0.050648  -0.000000  -0.000000   0.100330   0.000000   0.000000   30.0000     0.0653
  -13.000     0.000  -0.828061   0.035498   0.014009   0.049507  -0.000000   0.000000   0.101517   0.000000   0.000000   30.0000     0.0681
  -12.500     0.000  -0.784907   0.032073   0.015447   0.047520  -0.000000   0.000000   0.102582   0.000000   0.000000   30.0000     0.0711
  -12.000     0.000  -0.741821   0.028823   0.017327   0.046150  -0.000000   0.000000   0.103306   0.000000   0.000000   30.0000     0.0745
  -11.500     0.000  -0.698816   0.025751   0.019124   0.044875  -0.000000  -0.000000   0.103877   0.000000   0.000000   30.0000     0.0781
  -11.000     0.000  -0.655905   0.022859   0.022681   0.045540  -0.000000   0.000000   0.104669   0.000000   0.000000   30.0000     0.0822
  -10.500     0.000  -0.613102   0.020149   0.021130   0.041279  -0.000000   0.000000   0.104251   0.000000   0.000000   30.0000     0.0868
  -10.000     0.000  -0.570421   0.017622   0.019968   0.037590  -0.000000  -0.000000   0.103733   0.000000   0.000000   30.0000     0.0919
   -9.500     0.000  -0.527877   0.015281   0.019021   0.034302  -0.000000  -0.000000   0.103079   0.000000   0.000000   30.0000     0.0978
   -9.000     0.000  -0.485482   0.013126   0.018219   0.031344  -0.000000  -0.000000   0.102271   0.000000   0.000000   30.0000     0.1046
   -8.500     0.000  -0.443250   0.011157   0.017519   0.028677  -0.000000  -0.000000   0.101304   0.000000   0.000000   30.0000     0.1125
   -8.000     0.000  -0.401191   0.009376   0.016893   0.026269  -0.000000  -0.000000   0.100178   0.000000   0.000000   30.0000     0.1219
   -7.500     0.000  -0.359313   0.007781   0.016339   0.024120  -0.000000  -0.000000   0.098891   0.000000   0.000000   30.0000     0.1334
   -7.000     0.000  -0.317616   0.006373   0.015866   0.022239  -0.000000  -0.000000   0.097445   0.000000   0.000000   30.0000     0.1476
   -6.500     0.000  -0.276089   0.005150   0.015426   0.020576  -0.000000  -0.000000   0.095836   0.000000   0.000000   30.0000     0.1659
   -6.000     0.000  -0.234695   0.004111   0.014980   0.019092  -0.000000   0.000000   0.094052   0.000000   0.000000   30.0000     0.1904
