xflr5 v6.43

Plane name :        flaps 30
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.336270   0.141217   0.021251   0.162468   0.000000  -0.000000  -0.314786   0.000003   0.000000   30.0000    -0.1366
  -24.500     0.000  -1.301389   0.134995   0.021073   0.156068   0.000000  -0.000000  -0.315437   0.000003   0.000000   30.0000    -0.1393
  -24.000     0.000  -1.266304   0.128901   0.020908   0.149810   0.000000  -0.000000  -0.315969   0.000003   0.000000   30.0000    -0.1421
  -23.500     0.000  -1.231025   0.122942   0.020779   0.143721   0.000000  -0.000000  -0.316384   0.000003   0.000000   30.0000    -0.1452
  -23.000     0.000  -1.195561   0.117122   0.020673   0.137795   0.000000  -0.000000  -0.316682   0.000003   0.000000   30.0000    -0.1484
  -22.500     0.000  -1.159924   0.111445   0.023713   0.135158   0.000000  -0.000000  -0.316165   0.000003   0.000000   30.0000    -0.1519
  -22.000     0.000  -1.124121   0.105915   0.023322   0.129238   0.000000  -0.000000  -0.316327   0.000003   0.000000   30.0000    -0.1555
  -21.500     0.000  -1.088163   0.100538   0.023055   0.123593   0.000000  -0.000000  -0.316357   0.000003   0.000000   30.0000    -0.1595
  -21.000     0.000  -1.052060   0.095318   0.022840   0.118158   0.000000  -0.000000  -0.316274   0.000003   0.000000   30.0000    -0.1637
  -20.500     0.000  -1.015821   0.090258   0.022660   0.112918   0.000000  -0.000000  -0.316086   0.000003   0.000000   30.0000    -0.1683
  -20.000     0.000  -0.979456   0.085363   0.022620   0.107983   0.000000  -0.000000  -0.315845   0.000003   0.000000   30.0000    -0.1732
  -19.500     0.000  -0.942975   0.080635   0.022467   0.103103   0.000000  -0.000000  -0.315450   0.000003   0.000000   30.0000    -0.1785
  -19.000     0.000  -0.906387   0.076080   0.022338   0.098419   0.000000  -0.000000  -0.314971   0.000003   0.000000   30.0000    -0.1843
  -18.500     0.000  -0.869702   0.071701   0.022225   0.093926   0.000000  -0.000000  -0.314407   0.000003   0.000000   30.0000    -0.1906
  -18.000     0.000  -0.832929   0.067500   0.023372   0.090873   0.000000  -0.000000  -0.314213   0.000003   0.000000   30.0000    -0.1974
  -17.500     0.000  -0.796078   0.063482   0.025310   0.088792   0.000000  -0.000000  -0.314185   0.000003   0.000000   30.0000    -0.2050
  -17.000     0.000  -0.759159   0.059650   0.027266   0.086915   0.000000  -0.000000  -0.312536   0.000003   0.000000   30.0000    -0.2132
  -16.500     0.000  -0.722181   0.056005   0.026848   0.082853   0.000000  -0.000000  -0.311691   0.000003   0.000000   30.0000    -0.2224
  -16.000     0.000  -0.685153   0.052553   0.027927   0.080479   0.000000  -0.000000  -0.311190   0.000003   0.000000   30.0000    -0.2325
  -15.500     0.000  -0.648085   0.049294   0.027985   0.077279   0.000000  -0.000000  -0.310265   0.000003   0.000000   30.0000    -0.2439
  -15.000     0.000  -0.610987   0.046232   0.028510   0.074742   0.000000  -0.000000  -0.309395   0.000003   0.000000   30.0000    -0.2566
  -14.500     0.000  -0.573866   0.043370   0.031771   0.075141   0.000000  -0.000000  -0.307865   0.000003   0.000000   30.0000    -0.2710
  -14.000     0.000  -0.536733   0.040709   0.030716   0.071425   0.000000  -0.000000  -0.306651   0.000003   0.000000   30.0000    -0.2875
  -13.500     0.000  -0.499597   0.038253   0.032020   0.070273   0.000000  -0.000000  -0.304923   0.000003   0.000000   30.0000    -0.3064
  -13.000     0.000  -0.462466   0.036004   0.033785   0.069789   0.000000  -0.000000  -0.303206   0.000003   0.000000   30.0000    -0.3284
  -12.500     0.000  -0.425350   0.033964   0.035188   0.069152   0.000000  -0.000000  -0.301525   0.000003   0.000000   30.0000    -0.3542
  -12.000     0.000  -0.388256   0.032136   0.034049   0.066184   0.000000  -0.000000  -0.300414   0.000003   0.000000   30.0000    -0.3851
  -11.500     0.000  -0.351194   0.030523   0.032943   0.063466   0.000000  -0.000000  -0.299243   0.000003   0.000000   30.0000    -0.4224
  -11.000     0.000  -0.314171   0.029130   0.031879   0.061009   0.000000  -0.000000  -0.298042   0.000003   0.000000   30.0000    -0.4686
  -10.500     0.000  -0.277195   0.027962   0.031104   0.059066   0.000000  -0.000000  -0.296806   0.000002   0.000000   30.0000    -0.5271
  -10.000     0.000  -0.240272   0.027024   0.030557   0.057581   0.000000  -0.000000  -0.295544   0.000002   0.000000   30.0000    -0.6036
   -9.500     0.000  -0.203408   0.026327   0.030097   0.056423   0.000000  -0.000000  -0.294278   0.000002   0.000000   30.0000    -0.7077
   -9.000     0.000  -0.166607   0.025883   0.029702   0.055585   0.000000  -0.000000  -0.293016   0.000002   0.000000   30.0000    -0.8579
   -8.500     0.000  -0.129871   0.025709   0.029302   0.055011   0.000000  -0.000000  -0.291766   0.000002   0.000000   30.0000    -1.0928
   -8.000     0.000  -0.093199   0.025829   0.028931   0.054760   0.000000  -0.000000  -0.290532   0.000002   0.000000   30.0000    -1.5124
   -7.500     0.000  -0.056590   0.026264   0.028522   0.054785   0.000000  -0.000000  -0.289321   0.000002   0.000000   30.0000    -2.4742
   -7.000     0.000  -0.020047   0.027028   0.028202   0.055230   0.000000  -0.000000  -0.288133   0.000002   0.000000   30.0000    -6.9391
   -6.500     0.000   0.016412   0.028099   0.027906   0.056005   0.000000  -0.000000  -0.286971   0.000002   0.000000   30.0000     8.4230
   -6.000     0.000   0.052734   0.029376   0.027667   0.057043   0.000000  -0.000000  -0.285830   0.000002   0.000000   30.0000     2.6054
   -5.500     0.000   0.088813   0.030646   0.027460   0.058106   0.000000  -0.000000  -0.284707   0.000002   0.000000   30.0000     1.5378
   -5.000     0.000   0.124514   0.031652   0.027241   0.058893   0.000000  -0.000000  -0.283601   0.000002   0.000000   30.0000     1.0905
   -4.500     0.000   0.159786   0.032326   0.027113   0.059438   0.000000  -0.000000  -0.282511   0.000002   0.000000   30.0000     0.8450
   -4.000     0.000   0.194763   0.032922   0.026987   0.059909   0.000000  -0.000000  -0.281468   0.000002   0.000000   30.0000     0.6895
   -3.500     0.000   0.229735   0.033790   0.026834   0.060625   0.000000  -0.000000  -0.280560   0.000002   0.000000   30.0000     0.5817
   -3.000     0.000   0.265099   0.035122   0.026609   0.061732   0.000000  -0.000000  -0.279961   0.000002   0.000000   30.0000     0.5023
   -2.500     0.000   0.301453   0.036941   0.026382   0.063322   0.000000  -0.000000  -0.280041   0.000002   0.000000   30.0000     0.4412
   -2.000     0.000   0.339476   0.039177   0.026141   0.065318   0.000000  -0.000000  -0.281340   0.000002   0.000000   30.0000     0.3930
   -1.500     0.000   0.378806   0.041738   0.025959   0.067698   0.000000  -0.000000  -0.283760   0.000002  -0.000000   30.0000     0.3548
   -1.000     0.000   0.416799   0.044317   0.026194   0.070511   0.000000  -0.000000  -0.285299   0.000002  -0.000000   30.0000     0.3238
   -0.500     0.000   0.451406   0.047194   0.026740   0.073934   0.000000  -0.000000  -0.284497   0.000002  -0.000000   30.0000     0.2978
    0.000     0.000   0.484171   0.050122   0.026681   0.076802   0.000000  -0.000000  -0.282681   0.000002  -0.000000   30.0000     0.2756
    0.500     0.000   0.516631   0.053129   0.026646   0.079775   0.000000  -0.000000  -0.280864   0.000002  -0.000000   30.0000     0.2564
    1.000     0.000   0.549193   0.056275   0.026731   0.083006   0.000000  -0.000000  -0.279253   0.000002  -0.000000   30.0000     0.2397
    1.500     0.000   0.581858   0.059599   0.026803   0.086402   0.000000  -0.000000  -0.277810   0.000002  -0.000000   30.0000     0.2249
    2.000     0.000   0.614549   0.063119   0.026916   0.090035   0.000000  -0.000000  -0.276474   0.000002  -0.000000   30.0000     0.2117
    2.500     0.000   0.647191   0.066840   0.027085   0.093925   0.000000  -0.000000  -0.275192   0.000002  -0.000000   30.0000     0.2000
    3.000     0.000   0.679725   0.070763   0.027385   0.098148   0.000000  -0.000000  -0.273932   0.000002  -0.000000   30.0000     0.1895
    3.500     0.000   0.712104   0.074883   0.027799   0.102682   0.000000  -0.000000  -0.272674   0.000002  -0.000000   30.0000     0.1799
    4.000     0.000   0.744292   0.079199   0.028182   0.107380   0.000000  -0.000000  -0.271401   0.000002  -0.000000   30.0000     0.1713
    4.500     0.000   0.776258   0.083704   0.028768   0.112472   0.000000  -0.000000  -0.270107   0.000002  -0.000000   30.0000     0.1634
    5.000     0.000   0.807981   0.088395   0.029222   0.117618   0.000000  -0.000000  -0.268785   0.000002  -0.000000   30.0000     0.1561
    5.500     0.000   0.839439   0.093268   0.029658   0.122926   0.000000  -0.000000  -0.267433   0.000002  -0.000000   30.0000     0.1495
    6.000     0.000   0.870618   0.098318   0.030129   0.128447   0.000000  -0.000000  -0.266054   0.000002   0.000000   30.0000     0.1434
    6.500     0.000   0.901501   0.103541   0.030576   0.134117   0.000000  -0.000000  -0.264646   0.000002   0.000000   30.0000     0.1377
    7.000     0.000   0.932078   0.108933   0.031049   0.139982   0.000000  -0.000000  -0.263208   0.000002   0.000000   30.0000     0.1325
    7.500     0.000   0.962335   0.114489   0.031515   0.146003   0.000000  -0.000000  -0.261748   0.000002   0.000000   30.0000     0.1276
    8.000     0.000   0.992262   0.120204   0.032080   0.152283   0.000000  -0.000000  -0.260272   0.000002   0.000000   30.0000     0.1230
    8.500     0.000   1.021850   0.126073   0.032663   0.158736   0.000000  -0.000000  -0.258782   0.000002   0.000000   30.0000     0.1188
    9.000     0.000   1.051087   0.132092   0.033301   0.165393   0.000000  -0.000000  -0.257278   0.000002   0.000000   30.0000     0.1148
    9.500     0.000   1.079965   0.138256   0.034115   0.172372   0.000000  -0.000000  -0.255720   0.000003   0.000000   30.0000     0.1111
   10.000     0.000   1.108475   0.144560   0.034708   0.179268   0.000000  -0.000000  -0.254263   0.000003   0.000000   30.0000     0.1076
   10.500     0.000   1.136606   0.150997   0.034956   0.185953   0.000000  -0.000000  -0.252967   0.000003   0.000000   30.0000     0.1043
   11.000     0.000   1.164351   0.157563   0.035110   0.192673   0.000000  -0.000000  -0.251786   0.000003   0.000000   30.0000     0.1013
   11.500     0.000   1.191699   0.164252   0.033796   0.198048   0.000000  -0.000000  -0.251290   0.000003   0.000000   30.0000     0.0984
   12.000     0.000   1.218643   0.171058   0.035066   0.206124   0.000000  -0.000000  -0.249826   0.000003   0.000000   30.0000     0.0956
   12.500     0.000   1.245172   0.177975   0.036170   0.214145   0.000000  -0.000000  -0.248523   0.000003   0.000000   30.0000     0.0930
   13.000     0.000   1.271277   0.184997   0.035612   0.220609  -0.000000  -0.000000  -0.248284   0.000003   0.000000   30.0000     0.0906
   13.500     0.000   1.296950   0.192118   0.030757   0.222875   0.000000  -0.000000  -0.246087   0.000003   0.000000   30.0000     0.0883
   14.000     0.000   1.322182   0.199332   0.027730   0.227062   0.000000  -0.000000  -0.245289   0.000003   0.000000   30.0000     0.0861
   14.500     0.000   1.346962   0.206632   0.025132   0.231764   0.000000  -0.000000  -0.243509   0.000003   0.000000   30.0000     0.0841
   15.000     0.000   1.371283   0.214012   0.025465   0.239477   0.000000   0.000000  -0.242307   0.000003   0.000000   30.0000     0.0821
   15.500     0.000   1.395134   0.221464   0.025734   0.247199  -0.000000   0.000000  -0.241216   0.000003   0.000000   30.0000     0.0803
   16.000     0.000   1.418508   0.228983   0.026165   0.255148   0.000000   0.000000  -0.240122   0.000003   0.000000   30.0000     0.0785
   16.500     0.000   1.441393   0.236562   0.026649   0.263210   0.000000   0.000000  -0.239077   0.000003   0.000000   30.0000     0.0769
   17.000     0.000   1.463782   0.244193   0.027254   0.271446  -0.000000   0.000000  -0.238096   0.000003   0.000000   30.0000     0.0753
   17.500     0.000   1.485665   0.251870   0.028165   0.280035   0.000000   0.000000  -0.237207   0.000003   0.000000   30.0000     0.0738
   18.000     0.000   1.507033   0.259586   0.024736   0.284322   0.000000   0.000000  -0.235834   0.000003   0.000000   30.0000     0.0724
   18.500     0.000   1.527878   0.267333   0.022219   0.289553  -0.000000   0.000000  -0.234126   0.000003   0.000000   30.0000     0.0711
   19.000     0.000   1.548189   0.275106   0.022353   0.297459   0.000000   0.000000  -0.233212   0.000003   0.000000   30.0000     0.0698
   19.500     0.000   1.567958   0.282896   0.022492   0.305388  -0.000000   0.000000  -0.232345   0.000003   0.000000   30.0000     0.0687
   20.000     0.000   1.587176   0.290697   0.022637   0.313333  -0.000000   0.000000  -0.231527   0.000003   0.000000   30.0000     0.0675
   20.500     0.000   1.605835   0.298501   0.022779   0.321280  -0.000000   0.000000  -0.230757   0.000003   0.000000   30.0000     0.0665
   21.000     0.000   1.623925   0.306302   0.022931   0.329233   0.000000   0.000000  -0.230038   0.000003   0.000000   30.0000     0.0654
   21.500     0.000   1.641437   0.314092   0.023088   0.337180   0.000000   0.000000  -0.229369   0.000003   0.000000   30.0000     0.0645
   22.000     0.000   1.658364   0.321865   0.023254   0.345119  -0.000000   0.000000  -0.228751   0.000003   0.000000   30.0000     0.0636
   22.500     0.000   1.674697   0.329613   0.023446   0.353058   0.000000   0.000000  -0.228187   0.000002   0.000000   30.0000     0.0628
   23.000     0.000   1.690427   0.337329   0.023659   0.360988   0.000000   0.000000  -0.227676   0.000002   0.000000   30.0000     0.0620
   23.500     0.000   1.705545   0.345006   0.023878   0.368884  -0.000000   0.000000  -0.227215   0.000002   0.000000   30.0000     0.0612
   24.000     0.000   1.720045   0.352638   0.024114   0.376752   0.000000   0.000000  -0.226808   0.000002   0.000000   30.0000     0.0605


