xflr5 v6.43

Plane name :        left aileron -12
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -2.039667   0.209851   0.000574   0.210424  -0.004198  -0.037414  -0.039324   0.001478   0.001478   30.0000     0.0058
  -24.500     0.000  -1.999206   0.202599   0.000574   0.203172  -0.004008  -0.037516  -0.035449   0.001484   0.001484   30.0000     0.0062
  -24.000     0.000  -1.958496   0.195407   0.000574   0.195981  -0.003819  -0.037616  -0.031657   0.001488   0.001488   30.0000     0.0067
  -23.500     0.000  -1.917549   0.188281   0.000574   0.188855  -0.003631  -0.037713  -0.027948   0.001490   0.001490   30.0000     0.0072
  -23.000     0.000  -1.876378   0.181226   0.000574   0.181799  -0.003444  -0.037809  -0.024326   0.001488   0.001488   30.0000     0.0077
  -22.500     0.000  -1.834995   0.174246   0.000574   0.174820  -0.003258  -0.037903  -0.020792   0.001484   0.001484   30.0000     0.0082
  -22.000     0.000  -1.793413   0.167347   0.003900   0.171247  -0.003073  -0.037995  -0.017140   0.001475   0.001477   30.0000     0.0087
  -21.500     0.000  -1.751645   0.160534   0.003540   0.164074  -0.002889  -0.038086  -0.013815   0.001467   0.001467   30.0000     0.0092
  -21.000     0.000  -1.709703   0.153811   0.005020   0.158831  -0.002706  -0.038176  -0.010434   0.001560   0.001455   30.0000     0.0097
  -20.500     0.000  -1.667600   0.147184   0.006310   0.153494  -0.002524  -0.038264  -0.007171   0.001432   0.001439   30.0000     0.0102
  -20.000     0.000  -1.625348   0.140657   0.005951   0.146608  -0.002343  -0.038351  -0.004145   0.001415   0.001421   30.0000     0.0108
  -19.500     0.000  -1.582959   0.134235   0.005661   0.139897  -0.002163  -0.038437  -0.001215   0.001395   0.001400   30.0000     0.0113
  -19.000     0.000  -1.540447   0.127923   0.007338   0.135262  -0.001985  -0.038522   0.001794   0.001568   0.001376   30.0000     0.0119
  -18.500     0.000  -1.497823   0.121725   0.006710   0.128435  -0.001807  -0.038606   0.004480   0.001500   0.001349   30.0000     0.0124
  -18.000     0.000  -1.455100   0.115646   0.007913   0.123559  -0.001631  -0.038689   0.007265   0.001292   0.001319   30.0000     0.0130
  -17.500     0.000  -1.412291   0.109690   0.008820   0.118510  -0.001456  -0.038771   0.009280   0.001259   0.001286   30.0000     0.0136
  -17.000     0.000  -1.369407   0.103862   0.008050   0.111912  -0.001283  -0.038853   0.011820   0.001212   0.001250   30.0000     0.0142
  -16.500     0.000  -1.326461   0.098166   0.009754   0.107921  -0.001110  -0.038935   0.013457   0.001197   0.001212   30.0000     0.0149
  -16.000     0.000  -1.283465   0.092607   0.010620   0.103227  -0.000939  -0.039016   0.015875   0.001347   0.001170   30.0000     0.0155
  -15.500     0.000  -1.240431   0.087188   0.011563   0.098751  -0.000770  -0.039097   0.018380   0.000938   0.001126   30.0000     0.0162
  -15.000     0.000  -1.197372   0.081913   0.013051   0.094964  -0.000601  -0.039178   0.019716   0.000919   0.001079   30.0000     0.0169
