xflr5 v6.43

Plane name :        left aileron 5
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.864791   0.169798   0.000573   0.170371  -0.000245   0.016936  -0.131843  -0.000785  -0.000785   30.0000    -0.0282
  -24.500     0.000  -1.823175   0.163024   0.000574   0.163597  -0.000196   0.016922  -0.130526  -0.000782  -0.000782   30.0000    -0.0288
  -24.000     0.000  -1.781326   0.156329   0.000574   0.156902  -0.000148   0.016907  -0.129276  -0.000778  -0.000778   30.0000    -0.0294
  -23.500     0.000  -1.739258   0.149717   0.000574   0.150291  -0.000103   0.016891  -0.128093  -0.000773  -0.000773   30.0000    -0.0301
  -23.000     0.000  -1.696983   0.143194   0.003875   0.147069  -0.000058   0.016874  -0.126767  -0.000765  -0.000766   30.0000    -0.0308
  -22.500     0.000  -1.654514   0.136764   0.003540   0.140305  -0.000016   0.016857  -0.125745  -0.000757  -0.000757   30.0000    -0.0315
  -22.000     0.000  -1.611865   0.130432   0.005017   0.135449   0.000025   0.016839  -0.124642  -0.000854  -0.000748   30.0000    -0.0324
  -21.500     0.000  -1.569047   0.124203   0.006263   0.130466   0.000064   0.016821  -0.123634  -0.000732  -0.000737   30.0000    -0.0332
  -21.000     0.000  -1.526074   0.118081   0.005923   0.124003   0.000100   0.016803  -0.122836  -0.000721  -0.000725   30.0000    -0.0342
  -20.500     0.000  -1.482958   0.112070   0.005637   0.117707   0.000135   0.016784  -0.122107  -0.000708  -0.000711   30.0000    -0.0352
  -20.000     0.000  -1.439713   0.106176   0.006991   0.113167   0.000169   0.016766  -0.121250  -0.000867  -0.000696   30.0000    -0.0363
  -19.500     0.000  -1.396351   0.100402   0.008306   0.108708   0.000200   0.016746  -0.120542  -0.000654  -0.000680   30.0000    -0.0375
  -19.000     0.000  -1.352886   0.094753   0.007757   0.102510   0.000229   0.016727  -0.120066  -0.000649  -0.000663   30.0000    -0.0388
  -18.500     0.000  -1.309328   0.089233   0.007370   0.096603   0.000256   0.016708  -0.119656  -0.000633  -0.000644   30.0000    -0.0402
  -18.000     0.000  -1.265692   0.083847   0.007041   0.090887   0.000280   0.016689  -0.119318  -0.000615  -0.000625   30.0000    -0.0418
  -17.500     0.000  -1.221990   0.078597   0.009243   0.087841   0.000303   0.016670  -0.119297  -0.000785  -0.000604   30.0000    -0.0434
  -17.000     0.000  -1.178234   0.073490   0.008445   0.081934   0.000324   0.016651  -0.118976  -0.000748  -0.000582   30.0000    -0.0452
  -16.500     0.000  -1.134437   0.068527   0.011227   0.079754   0.000342   0.016632  -0.119293  -0.000522  -0.000559   30.0000    -0.0472
  -16.000     0.000  -1.090612   0.063714   0.010719   0.074433   0.000358   0.016613  -0.119231  -0.000505  -0.000535   30.0000    -0.0493
  -15.500     0.000  -1.046770   0.059053   0.011668   0.070721   0.000372   0.016594  -0.119660  -0.000484  -0.000510   30.0000    -0.0517
  -15.000     0.000  -1.002925   0.054549   0.012288   0.066837   0.000383   0.016576  -0.120026  -0.000588  -0.000484   30.0000    -0.0542
  -14.500     0.000  -0.959088   0.050205   0.013254   0.063459   0.000392   0.016558  -0.119901  -0.000141  -0.000457   30.0000    -0.0571
  -14.000     0.000  -0.915271   0.046025   0.015077   0.061102   0.000399   0.016541  -0.120180  -0.000440  -0.000429   30.0000    -0.0602
  -13.500     0.000  -0.871488   0.042011   0.014079   0.056090   0.000403   0.016524  -0.120433  -0.000407  -0.000400   30.0000    -0.0637
  -13.000     0.000  -0.827751   0.038168   0.022193   0.060361   0.000405   0.016508  -0.118768  -0.004096  -0.000371   30.0000    -0.0676
  -12.500     0.000  -0.784071   0.034497   0.022909   0.057406   0.000405   0.016492  -0.119044  -0.002914  -0.000340   30.0000    -0.0719
  -12.000     0.000  -0.740461   0.031003   0.020127   0.051130   0.000402   0.016476  -0.120459  -0.001456  -0.000309   30.0000    -0.0768
  -11.500     0.000  -0.696934   0.027687   0.029169   0.056856   0.000397   0.016462  -0.119216  -0.004655  -0.000278   30.0000    -0.0823
  -11.000     0.000  -0.653503   0.024553   0.021496   0.046049   0.000389   0.016447  -0.121474  -0.000098  -0.000245   30.0000    -0.0885
  -10.500     0.000  -0.610180   0.021603   0.020078   0.041682   0.000378   0.016434  -0.122572  -0.000124  -0.000213   30.0000    -0.0957
  -10.000     0.000  -0.566980   0.018840   0.019001   0.037841   0.000366   0.016421  -0.123694  -0.000118  -0.000179   30.0000    -0.1041
   -9.500     0.000  -0.523916   0.016265   0.018088   0.034353   0.000350   0.016408  -0.124871  -0.000103  -0.000145   30.0000    -0.1138
   -9.000     0.000  -0.481004   0.013880   0.017306   0.031186   0.000332   0.016397  -0.126114  -0.000083  -0.000111   30.0000    -0.1252
   -8.500     0.000  -0.438257   0.011688   0.016641   0.028329   0.000312   0.016385  -0.127427  -0.000060  -0.000076   30.0000    -0.1390
   -8.000     0.000  -0.395694   0.009690   0.016042   0.025732   0.000288   0.016374  -0.128810  -0.000037  -0.000041   30.0000    -0.1557
   -7.500     0.000  -0.353331   0.007887   0.015504   0.023391   0.000263   0.016364  -0.130264  -0.000010  -0.000006   30.0000    -0.1763
   -7.000     0.000  -0.311187   0.006280   0.015021   0.021302   0.000234   0.016353  -0.131782   0.000018   0.000030   30.0000    -0.2026
   -6.500     0.000  -0.269282   0.004871   0.014589   0.019460   0.000203   0.016342  -0.133364   0.000054   0.000065   30.0000    -0.2369
   -6.000     0.000  -0.227636   0.003659   0.014170   0.017828   0.000170   0.016331  -0.135003   0.000090   0.000101   30.0000    -0.2836
   -5.500     0.000  -0.186268   0.002644   0.013806   0.016450   0.000134   0.016320  -0.136687   0.000119   0.000137   30.0000    -0.3508
   -5.000     0.000  -0.145194   0.001825   0.013552   0.015378   0.000095   0.016307  -0.138404   0.000146   0.000173   30.0000    -0.4555
   -4.500     0.000  -0.104418   0.001202   0.013300   0.014502   0.000055   0.016293  -0.140160   0.000180   0.000209   30.0000    -0.6410
   -4.000     0.000  -0.063912   0.000775   0.013090   0.013865   0.000012   0.016278  -0.141962   0.000215   0.000244   30.0000    -1.0600
   -3.500     0.000  -0.023568   0.000544   0.012921   0.013465  -0.000034   0.016266  -0.143863   0.000249   0.000280   30.0000    -2.9109
   -3.000     0.000   0.016918   0.000515   0.012816   0.013331  -0.000082   0.016268  -0.146036   0.000288   0.000316   30.0000     4.1130
   -2.500     0.000   0.058165   0.000689   0.012712   0.013401  -0.000132   0.016305  -0.148886   0.000325   0.000353   30.0000     1.2185
   -2.000     0.000   0.100857   0.001059   0.012629   0.013688  -0.000182   0.016364  -0.152929   0.000368   0.000388   30.0000     0.7210
   -1.500     0.000   0.144569   0.001562   0.012541   0.014102  -0.000238   0.016334  -0.157940   0.000420   0.000424   30.0000     0.5189
   -1.000     0.000   0.186974   0.002298   0.012381   0.014679  -0.000285   0.016179  -0.162139   0.000459   0.000455   30.0000     0.4114
   -0.500     0.000   0.226455   0.003230   0.012175   0.015404  -0.000339   0.016101  -0.164500   0.000483   0.000485   30.0000     0.3442
    0.000     0.000   0.264244   0.004347   0.012024   0.016371  -0.000404   0.016101  -0.165983   0.000507   0.000518   30.0000     0.2973
    0.500     0.000   0.301640   0.005653   0.011955   0.017608  -0.000475   0.016115  -0.167422   0.000529   0.000551   30.0000     0.2625
    1.000     0.000   0.339055   0.007153   0.011909   0.019062  -0.000550   0.016123  -0.169044   0.000554   0.000583   30.0000     0.2355
    1.500     0.000   0.376525   0.008849   0.012019   0.020868  -0.000628   0.016124  -0.170847   0.000557   0.000615   30.0000     0.2141
    2.000     0.000   0.414001   0.010741   0.012227   0.022968  -0.000707   0.016119  -0.172795   0.000585   0.000645   30.0000     0.1967
    2.500     0.000   0.451422   0.012831   0.012464   0.025294  -0.000790   0.016110  -0.174847   0.000609   0.000676   30.0000     0.1824
    3.000     0.000   0.488735   0.015117   0.012704   0.027821  -0.000867   0.016098  -0.176975   0.000632   0.000702   30.0000     0.1703
    3.500     0.000   0.525896   0.017600   0.013006   0.030607  -0.000957   0.016084  -0.179153   0.000645   0.000732   30.0000     0.1601
    4.000     0.000   0.562870   0.020280   0.013337   0.033618  -0.001054   0.016069  -0.181369   0.000658   0.000763   30.0000     0.1513
    4.500     0.000   0.599626   0.023156   0.013688   0.036844  -0.001103   0.016055  -0.183608   0.000652   0.000772   30.0000     0.1436
    5.000     0.000   0.636139   0.026226   0.014122   0.040348  -0.001210   0.016039  -0.185864   0.000668   0.000803   30.0000     0.1369
    5.500     0.000   0.672386   0.029489   0.014595   0.044084  -0.001307   0.016023  -0.188128   0.000675   0.000830   30.0000     0.1310
    6.000     0.000   0.708348   0.032943   0.015190   0.048133  -0.001409   0.016007  -0.190397   0.000671   0.000854   30.0000     0.1258
    6.500     0.000   0.744006   0.036586   0.015771   0.052357  -0.001520   0.015990  -0.192665   0.000678   0.000881   30.0000     0.1211
    7.000     0.000   0.779346   0.040416   0.016373   0.056789  -0.001611   0.015974  -0.194924   0.000675   0.000895   30.0000     0.1169
    7.500     0.000   0.814350   0.044430   0.017009   0.061439  -0.001670   0.015958  -0.197176   0.000661   0.000903   30.0000     0.1131
    8.000     0.000   0.849007   0.048626   0.017665   0.066291  -0.001793   0.015942  -0.199416   0.000650   0.000928   30.0000     0.1097
    8.500     0.000   0.883302   0.053001   0.018341   0.071343  -0.001909   0.015926  -0.201653   0.000628   0.000949   30.0000     0.1066
    9.000     0.000   0.917222   0.057553   0.019066   0.076619  -0.002029   0.015910  -0.203872   0.000618   0.000969   30.0000     0.1037
    9.500     0.000   0.950756   0.062277   0.019918   0.082195  -0.002161   0.015895  -0.206074   0.000596   0.000991   30.0000     0.1012
   10.000     0.000   0.983891   0.067175   0.021064   0.088239  -0.001742   0.015866  -0.208162   0.000351   0.000797   30.0000     0.0988
   10.500     0.000   1.016616   0.072234   0.021060   0.093294  -0.002534   0.015876  -0.210719   0.000559   0.001071   30.0000     0.0966
   11.000     0.000   1.048918   0.077461   0.021372   0.098832  -0.002302   0.015830  -0.213219   0.000375   0.000954   30.0000     0.0946
   11.500     0.000   1.080787   0.082846   0.021306   0.104151  -0.002557   0.015823  -0.215916   0.000357   0.001011   30.0000     0.0928
   12.000     0.000   1.112211   0.088388   0.021697   0.110085  -0.002636   0.015805  -0.218535   0.000261   0.001014   30.0000     0.0911
   12.500     0.000   1.143180   0.094083   0.021230   0.115313  -0.002827   0.015791  -0.220588   0.000809   0.001042   30.0000     0.0895
   13.000     0.000   1.173681   0.099918   0.016907   0.116825  -0.003470   0.015810  -0.223265   0.002289   0.001299   30.0000     0.0881
   13.500     0.000   1.203706   0.105915   0.018383   0.124298  -0.003176   0.015769  -0.225356   0.002203   0.001092   30.0000     0.0867
   14.000     0.000   1.233244   0.112043   0.013352   0.125395  -0.003639   0.015785  -0.227582   0.001834   0.001207   30.0000     0.0855
   14.500     0.000   1.262271   0.118281   0.012653   0.130934  -0.000018   0.015400  -0.229513   0.000218   0.000091   30.0000     0.0844
   15.000     0.000   1.290808   0.124716   0.011797   0.136512  -0.002984   0.015638  -0.231488   0.000674   0.000900   30.0000     0.0833
   15.500     0.000   1.318819   0.131247   0.012193   0.143440  -0.003759   0.015673  -0.233664   0.000830   0.001076   30.0000     0.0823
   16.000     0.000   1.346297   0.137900   0.012778   0.150678  -0.003165   0.015593  -0.235777   0.000627   0.000898   30.0000     0.0814
   16.500     0.000   1.373237   0.144674   0.013511   0.158186  -0.003464   0.015592  -0.237890   0.000645   0.000958   30.0000     0.0806
   17.000     0.000   1.399629   0.151565   0.012889   0.164455  -0.003988   0.015575  -0.239585   0.001376   0.000991   30.0000     0.0798
   17.500     0.000   1.425458   0.158566   0.009324   0.167891  -0.003674   0.015542  -0.241070   0.001456   0.000950   30.0000     0.0791
   18.000     0.000   1.450720   0.165675   0.009731   0.175406  -0.003911   0.015520  -0.243014   0.001526   0.000958   30.0000     0.0785
   18.500     0.000   1.475404   0.172886   0.008803   0.181690  -0.004142   0.015493  -0.244529   0.000931   0.000958   30.0000     0.0779
   19.000     0.000   1.499497   0.180194   0.007698   0.187892  -0.004052   0.015497  -0.246213   0.001194   0.001003   30.0000     0.0774
   19.500     0.000   1.522996   0.187596   0.008032   0.195627  -0.004443   0.015466  -0.247998   0.001216   0.000997   30.0000     0.0769
   20.000     0.000   1.545889   0.195084   0.006735   0.201819  -0.004828   0.015467  -0.249568   0.001041   0.001046   30.0000     0.0764
   20.500     0.000   1.568175   0.202630   0.006926   0.209556  -0.006864   0.015725  -0.251249   0.001554   0.001559   30.0000     0.0760
   21.000     0.000   1.589800   0.210307   0.007112   0.217418  -0.002341   0.015548  -0.252867   0.001211   0.001216   30.0000     0.0756
   21.500     0.000   1.610834   0.218035   0.007325   0.225360  -0.004532   0.015262  -0.254463   0.000812   0.000819   30.0000     0.0753
   22.000     0.000   1.631214   0.225867   0.007584   0.233451  -0.007526   0.015546  -0.256009   0.001320   0.001328   30.0000     0.0750
   22.500     0.000   1.650941   0.233683   0.007932   0.241615  -0.004541   0.015159  -0.257500   0.000733   0.000750   30.0000     0.0748
   23.000     0.000   1.670014   0.241597   0.009103   0.250700  -0.004909   0.015138  -0.259010   0.000729   0.000765   30.0000     0.0745
   23.500     0.000   1.688424   0.249567   0.007456   0.257023  -0.005551   0.015092  -0.260243   0.000980   0.000740   30.0000     0.0743
   24.000     0.000   1.706154   0.257580   0.005347   0.262927  -0.004945   0.015078  -0.261369   0.000765   0.000766   30.0000     0.0742


