xflr5 v6.43

Plane name :        rudder 10
Polar name :        T1-30.0 m/s-VLM2-34.9kg-x0.0mm-TG
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.924746   0.180010   0.000906   0.180916   0.026640   0.011802  -0.101212  -0.004963  -0.004961   30.0000    -0.0165
  -24.500     0.000  -1.883282   0.173138   0.000906   0.174044   0.027029   0.011848  -0.099155  -0.005230  -0.005229   30.0000    -0.0167
  -24.000     0.000  -1.841579   0.166340   0.000906   0.167246   0.027411   0.011885  -0.097174  -0.005499  -0.005498   30.0000    -0.0169
  -23.500     0.000  -1.799648   0.159619   0.000907   0.160526   0.027785   0.011911  -0.095270  -0.005769  -0.005768   30.0000    -0.0172
  -23.000     0.000  -1.757503   0.152981   0.000907   0.153888   0.028151   0.011927  -0.093446  -0.006039  -0.006038   30.0000    -0.0175
  -22.500     0.000  -1.715157   0.146431   0.004053   0.150484   0.028508   0.011934  -0.091502  -0.006310  -0.006308   30.0000    -0.0179
  -22.000     0.000  -1.672623   0.139974   0.003823   0.143797   0.028856   0.011930  -0.089857  -0.006580  -0.006579   30.0000    -0.0182
  -21.500     0.000  -1.629913   0.133613   0.007022   0.140635   0.029195   0.011916  -0.088004  -0.006851  -0.006848   30.0000    -0.0186
  -21.000     0.000  -1.587040   0.127354   0.006510   0.133864   0.029524   0.011892  -0.086555  -0.007118  -0.007116   30.0000    -0.0191
  -20.500     0.000  -1.544017   0.121202   0.006185   0.127387   0.029845   0.011858  -0.085176  -0.007385  -0.007384   30.0000    -0.0196
  -20.000     0.000  -1.500858   0.115160   0.005910   0.121071   0.030155   0.011814  -0.083880  -0.007650  -0.007649   30.0000    -0.0202
  -19.500     0.000  -1.457574   0.109234   0.005793   0.115027   0.030456   0.011760  -0.082717  -0.007914  -0.007912   30.0000    -0.0208
  -19.000     0.000  -1.414179   0.103428   0.008485   0.111913   0.030747   0.011696  -0.081230  -0.008175  -0.008173   30.0000    -0.0214
  -18.500     0.000  -1.370685   0.097745   0.008011   0.105756   0.031027   0.011622  -0.080225  -0.008433  -0.008430   30.0000    -0.0221
  -18.000     0.000  -1.327106   0.092191   0.007638   0.099829   0.031298   0.011539  -0.079304  -0.008687  -0.008685   30.0000    -0.0229
  -17.500     0.000  -1.283453   0.086769   0.008581   0.095350   0.031558   0.011446  -0.078910  -0.008938  -0.008936   30.0000    -0.0238
  -17.000     0.000  -1.239739   0.081484   0.007850   0.089333   0.031807   0.011344  -0.077999  -0.009185  -0.009183   30.0000    -0.0247
  -16.500     0.000  -1.195978   0.076339   0.010835   0.087173   0.032045   0.011232  -0.077764  -0.009226  -0.009425   30.0000    -0.0258
  -16.000     0.000  -1.152181   0.071338   0.011504   0.082842   0.032273   0.011112  -0.076993  -0.009667  -0.009663   30.0000    -0.0269
